Name: “Table 1 of 1 on page 31 of 124”,Name: “Table 1 of 1 on page 31 of 124”,Name: “Table 1 of 1 on page 31 of 124”,Name: “Table 1 of 1 on page 31 of 124”,Name: “Table 1 of 1 on page 31 of 124”,Name: “Table 1 of 1 on page 31 of 124”,Name: “Table 1 of 1 on page 31 of 124”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,
CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,CAPITAL IMPROVEMENT PLAN ~ Expenditure Category,,,
Fiscal Years 2011 ~ 2015,Fiscal Years 2011 ~ 2015,Fiscal Years 2011 ~ 2015,,,,
Expenditures by Project Category,FY11,FY12,FY13,FY14,FY15,TOTAL
3. Maintenance of Public Properties and Performance,,,,,,
Support (Cont'd),,,,,,
Downtown Landscaping Enhancements,0,0,0,0,"500,000","500,000"
Firing Range Improvements,"500,000","500,000","500,000",0,0,"1,500,000"
Parks and Recreation Maintenance,"1,350,000","2,000,000","2,000,000","2,000,000","2,000,000","9,350,000"
Re-engineering Technology,0,"100,000","200,000","200,000","200,000","700,000"
Total Maintenance of Public Properties,,,,,,
and Performance Support:,"5,100,000","5,550,000","6,150,000","4,950,000","6,150,000","27,900,000"
4. Master Plans,,,,,,
Coliseum Central Investment:,,,,,,
Crossroads Structural Parking Garage,0,"6,000,000",0,0,0,"6,000,000"
North King Street Investment:,,,,,,
Langley Air Force Base Entrance Improvement,0,"750,000",0,0,0,"750,000"
Total Master Plans:,0,"6,750,000",0,0,0,"6,750,000"
5. Neighborhood Support,,,,,,
Blighted Property Acquisition and Demolition,"200,000","750,000","702,628","550,000","550,000","2,752,628"
Housing Improvement Grants,"300,000","200,000",0,0,0,"500,000"
Neighborhood Curb and Gutter Program,"585,000","585,000","585,000","585,000","585,000","2,925,000"
Neighborhood Improvement Funding,0,"200,000","200,000","200,000","200,000","800,000"
Total Neighborhood Support:,"1,085,000","1,735,000","1,487,628","1,335,000","1,335,000","6,977,628"
6. New Facilities,,,,,,
New Circuit Court Building and Parking Lot,"29,000,000",0,0,0,0,"29,000,000"
Total New Facilities:,"29,000,000",0,0,0,0,"29,000,000"
7. Other CIP Projects,,,,,,
Contingency,"240,000","390,000","390,000","390,000","390,000","1,800,000"
Strategic Property Acquisitions,0,"1,500,000","750,000","750,000","750,000","3,750,000"
Total Other CIP Projects:,"240,000","1,890,000","1,140,000","1,140,000","1,140,000","5,550,000"
8. Other Economic Development Support,,,,,,
Retail/Shopping Center Revitalization Program,0,"300,000","200,000","200,000","200,000","900,000"
Total Other Economic Development Support:,0,"300,000","200,000","200,000","200,000","900,000"
