Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”,Name: “Table 1 of 1 on page 40 of 124”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,
,,,Project Information,,,,,,,
Name:,Thomas,elson Comm. College Site Improv.,elson Comm. College Site Improv.,Category:,Education,,,,,
Contact:,Christine Snead,Christine Snead,,District:,2,,,,,
Department: Office of Budget and Management Analysis - (757) 727-6377,Department: Office of Budget and Management Analysis - (757) 727-6377,Department: Office of Budget and Management Analysis - (757) 727-6377,Department: Office of Budget and Management Analysis - (757) 727-6377,,,,,,,
,,,Project Description and Scope,Project Description and Scope,,,,,,
State mandated contribution to site improvements at Thomas,State mandated contribution to site improvements at Thomas,State mandated contribution to site improvements at Thomas,State mandated contribution to site improvements at Thomas,elson Community College (T,elson Community College (T,CC) based on the number,CC) based on the number,,,
of Hampton residents enrolled.,of Hampton residents enrolled.,of Hampton residents enrolled.,,,,,,,,
,Expenditures,Expenditures,,Amount,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Preliminary Designs/Plans,Preliminary Designs/Plans,Preliminary Designs/Plans,,$0,,$0,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,,0,,0,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,0,,0,0,0,0,0
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,0,,0,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,Building/Utility/Construction,,"845,520",,"169,10","169,10","169,10","169,10","169,10"
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,0,,0,0,0,0,0
Other Costs,,,,0,,0,0,0,0,0
,,,Grand Total,"$845,520",,,,,,
,,Revenues,,Amount,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,Economic Development Fund,,0,,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,,"845,520",,"169,10","169,10","169,10","169,10","169,10"
General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,,0,,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,0,,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,0,,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,0,,0,0,0,0,0
Stormwater Funds,,,,0,,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,,0,,0,0,0,0,0
,,,Grand Total,"$845,520",,"$169,10","$169,10","$169,10","$169,10","$169,10"
Project Status:,,,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
"Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following","Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following","Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following","Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following","Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following","Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following","Funding received from the City of Hampton, as well as surrounding localities, will be used to implement the following",,There is no impact on the City's operating budget.,There is no impact on the City's operating budget.,
improvements in fiscal year 2011:,improvements in fiscal year 2011:,improvements in fiscal year 2011:,,,,,,,,
~,Repair drainage surrounding Harrison Hall,Repair drainage surrounding Harrison Hall,~ Replace damaged e terior trash cans/urns,~ Replace damaged e terior trash cans/urns,~ Replace damaged e terior trash cans/urns,~ Replace damaged e terior trash cans/urns,,,,
~,Repair/replace e terior seating,Repair/replace e terior seating,~ Modify/e pand Hampton III parking lot,~ Modify/e pand Hampton III parking lot,~ Modify/e pand Hampton III parking lot,~ Modify/e pand Hampton III parking lot,,,,
~,Install/repair walkway lighting,Install/repair walkway lighting,~ Landscaping care,~ Landscaping care,,,,,,
~,Sidewalk replacement,Sidewalk replacement,,,,,,,,
