Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”,Name: “Table 1 of 1 on page 144 of 217”
Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142
,,,,,,,,
,,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT,DEBT SERVICE FUND--AMORTIZATION OF LONG TERM DEBT
Amortization of Long Term Debt,Amortization of Long Term Debt,Amortization of Long Term Debt,Amortization of Long Term Debt,Amortization of Long Term Debt,,,,
Year,,School,School,School,,School General,School General,School General
Ending,,Literary Fund Loans,Literary Fund Loans,Literary Fund Loans,,Obligation Bonds,Obligation Bonds,Obligation Bonds
June 30,,Principal,,Interest,,Principal,,Interest
2014,,"280,820",,"45,925",,"374,967",,"879,742"
2015,,"250,000",,"37,500",,"781,367",,"870,257"
2016,,"250,000",,"30,000",,"882,449",,"848,413"
2017,,"250,000",,"22,500",,"1,107,016",,"816,816"
2018,,"250,000",,"15,000",,"1,203,301",,"771,145"
2019,,"250,000",,"7,500",,"1,260,377",,"721,590"
2020,,,,,,"1,474,362",,"669,369"
2021,,,,,,"1,596,669",,"602,932"
2022,,,,,,"1,725,026",,"535,365"
2023,,,,,,"1,911,809",,"463,554"
2024,,,,,,"1,947,578",,"375,057"
2025,,,,,,"2,033,828",,"283,373"
2026,,,,,,"1,971,578",,"204,964"
2027,,,,,,"2,061,035",,"112,363"
2028,,,,,,"256,000",,"15,496"
2029,,,,,,"264,000",,"7,868"
TOTAL,$,"1,530,820",$,"158,425",$,"20,851,362",$,"8,178,304"
,,,,,,108,,
