Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,,,,,,,,
,,,,,,PUBLIC WORKS,PUBLIC WORKS,PUBLIC WORKS,,,,,,,
Expenditures Summary,Expenditures Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,$,%
,,,,,,FY 2013,,,,FY 2014,,,,Change,Change
,,,,,,Original,,FY 2013,Department,Department,,FY 2014,,From 2013,From 2013
,,FY 2011,,FY 2012,,Adopted,,Revised,,Request,,Adopted,,Revised,Revised
,,Actual,,Actual,,Budget,,Budget,,Budget,,Budget,,Budget,Budget
Personnel Services,$,"846,737",$,"908,095",$,"1,032,712",$,"1,032,712",$,"1,032,058",$,"989,697",$,"(43,015)",-4.2%
Operating Expenses,,"311,143",,"358,649",,"329,158",,"329,158",,"367,028",,"358,978",,"29,820",9.1%
Capital Outlay,,"128,584",,"65,849",,"76,000",,"76,000",,"95,150",,"86,500",,"10,500",13.8%
Totals,$,"1,286,464",$,"1,332,593",$,"1,437,870",$,"1,437,870",$,"1,494,236",$,"1,435,175",$,"(2,695)",-0.2%
Personnel Summary,,,,,,,,,,,,FY 2014,,,
,,,,,,,,,,,,Department,,FY 2014,
,,,,,,FY 2011,,FY 2012,,FY 2013,,Request,,Authorized,
,,,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,,Positions,,Positions,
Director of Public Works,,,,,,1,,1,,1,,1,,1,
Construction Inspector,,,,,,1,,1,,1,,1,,1,
Equipment Operations Foreman,Equipment Operations Foreman,Equipment Operations Foreman,,,,1,,1,,1,,1,,1,
Equipment Operator III,,,,,,1,,2,,2,,2,,2,
Parks Maintenance Supervisor,Parks Maintenance Supervisor,Parks Maintenance Supervisor,,,,1,,1,,1,,1,,1,
Equipment Operator II,,,,,,1,,1,,1,,1,,1,
Equipment Operator I,,,,,,2,,2,,2,,2,,2,
Maintenance Worker IV,,,,,,0,,1,,1,,1,,1,
Maintenance Worker lll,,,,,,3,,2,,2,,2,,2,
Maintenance Worker II,,,,,,0,,2,,2,,2,,2,
Parks Maintenance Worker,Parks Maintenance Worker,,,,,1,,1,,1,,1,,1,
Maintenance Worker I,,,,,,4,,1,,1,,1,,1,
Laborer (FTE),,,,,,0,,0,,0.6,,0.6,,0.6,
Secretary (FTE),,,,,,0.5,,0.5,,0.5,,0.5,,0.5,
Totals,,,,,,16.5,,16.5,,17.1,,17.1,,17.1,
Goals and Objectives,,,,,,,,,,,,,,,
* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,* Oversee construction and maintenance of all City streets in accordance with Virginia Department of,,
Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,Highways and Transportation standards to ensure safe vehicle operation for all motorists.,,,,
