Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”,Name: “Table 1 of 1 on page 44 of 217”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,,,,,,,,,
,,,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,SUMMARY OF FUND BALANCE OR NET ASSETS BY FUND,,,,
,,,,,,,,Capital,,Solid,,,,Fleet,,Special
,,,,General,,Debt,,Projects,,Waste,,Utilities,Management,Management,,Revenue
,,,,Fund,,Service,,Fund,,Fund,,Fund,,Fund,,Fund
Beginning,Fund Balance -7/1/2010,Fund Balance -7/1/2010,$,"4,746,342",$,-,$,"909,904",$,"316,881",$,"5,949,108",$,"126,483",$,-
Actual FY 2011 Revenues,Actual FY 2011 Revenues,,,"23,628,917",,"9,607,452",,"775,052",,"756,232",,"1,560,717",,"615,653",,"52,007"
Actual FY 2011 Expenditures,Actual FY 2011 Expenditures,Actual FY 2011 Expenditures,,"(23,014,055)",,"(9,607,452)",,"(814,871)",,"(791,114)",,"(2,187,173)",,"(685,393)",,(102)
Ending Fund Balance - 6/30/2011,Ending Fund Balance - 6/30/2011,Ending Fund Balance - 6/30/2011,$,"5,361,204",$,-,$,"870,085",$,"281,999",$,"5,322,652",$,"56,743",$,"51,905"
Beginning,Fund Balance,- 7/1/2011,,"5,361,204",,-,,"870,085",,"281,999",,"5,322,652",,"56,743",,"51,905"
Actual FY 2012 Revenues,Actual FY 2012 Revenues,,,"23,998,926",,"14,538,341",,"1,493,589",,"816,534",,"1,553,699",,"710,973",,56
Actual FY 2012 Expenditures,Actual FY 2012 Expenditures,Actual FY 2012 Expenditures,,"(24,037,635)",,"(14,535,623)",,"(1,128,204)",,"(743,280)",,"(1,480,181)",,"(723,264)",,(885)
Ending Fund Balance - 6/30/2012,Ending Fund Balance - 6/30/2012,Ending Fund Balance - 6/30/2012,$,"5,322,495",$,"2,718",$,"1,235,470",$,"355,253",$,"5,396,170",$,"44,452",$,"51,076"
Beginning,Fund Balance,- 7/1/2012,,"5,322,495",,"2,718",,"1,235,470",,"355,253",,"5,396,170",,"44,452",,"51,076"
Estimated FY 2013 Revenues,Estimated FY 2013 Revenues,Estimated FY 2013 Revenues,,"23,806,531",,"2,052,250",,"486,246",,"864,450",,"1,859,080",,"668,030",,"180,380"
Estimated FY 2013 Expenditures,Estimated FY 2013 Expenditures,Estimated FY 2013 Expenditures,,"(24,546,301)",,"(1,801,308)",,"(1,598,161)",,"(864,450)",,"(1,859,080)",,"(668,030)",,"(137,735)"
Projected Fund Balance - 6/30/2013,Projected Fund Balance - 6/30/2013,Projected Fund Balance - 6/30/2013,$,"4,582,725",$,"253,660",$,"123,555",$,"355,253",$,"5,396,170",$,"44,452",$,"93,721"
Beginning,Fund Balance,- 7/1/2013,,"4,582,725",,"253,660",,"123,555",,"355,253",,"5,396,170",,"44,452",,"93,721"
Estimated FY 2014 Revenues,Estimated FY 2014 Revenues,Estimated FY 2014 Revenues,,"24,375,111",,"2,027,024",,"477,000",,"876,260",,"1,851,100",,"716,000",,-
Estimated FY 2014 Expenditures,Estimated FY 2014 Expenditures,Estimated FY 2014 Expenditures,,"(24,689,341)",,"(2,027,024)",,"(534,202)",,"(876,260)",,"(1,851,100)",,"(716,000)",,-
Projected Fund Balance - 6/30/2014,Projected Fund Balance - 6/30/2014,Projected Fund Balance - 6/30/2014,$,"4,268,495",$,"253,660",$,"66,353",$,"355,253",$,"5,396,170",$,"44,452",$,"93,721"
