Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”,Name: “Table 1 of 1 on page 84 of 217”
Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82,Table: 82
,,,,,,,,,,,,,,,
,,,,,,POLICE,POLICE,POLICE,,,,,,,
Expenditures Summary,Expenditures Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,$,%
,,,,,,FY 2013,,,,FY 2014,,,,Change,Change
,,,,,,Original,,FY 2013,Department,Department,,FY 2014,,From 2013,From 2013
,,FY 2011,,FY 2012,,Adopted,,Revised,,Request,,Adopted,,Revised,Revised
,,Actual,,Actual,,Budget,,Budget,,Budget,,Budget,,Budget,Budget
Personnel Services,$,"1,681,712",$,"1,672,007",$,"1,909,142",$,"1,934,343",$,"2,011,451",$,"1,929,995",$,"(4,348)",-0.2%
Operating Expenses,,"665,523",,"608,124",,"580,036",,"643,581",,"616,339",,"615,739",,"(27,842)",-4.3%
Capital Outlay,,"34,661",,"24,399",,-,,"25,000",,"37,000",,"31,000",,"6,000",n/a
Totals,$,"2,381,896",$,"2,304,530",$,"2,489,178",$,"2,602,924",$,"2,664,790",$,"2,576,734",$,"(26,190)",-1.1%
Personnel Summary,,,,,,,,,,,,FY 2014,,,
,,,,,,,,,,,,Department,,FY 2014,
,,,,,,FY 2011,,FY 2012,,FY 2013,,Request,,Authorized,
,,,,,Authorized,Authorized,Authorized,Authorized,Authorized,Authorized,,Positions,,Positions,
Police Chief,,,,,,1,,1,,1,,1,,1,
Captain,,,,,,1,,1,,1,,1,,1,
Lieutenant,,,,,,1,,1,,1,,1,,1,
Sergeant/EMT,,,,,,2,,2,,2,,2,,2,
Sergeant,,,,,,2,,2,,2,,2,,2,
Detective/Sergeant/EMT,Detective/Sergeant/EMT,,,,,1,,1,,1,,1,,1,
Corporal/EMT,,,,,,1,,1,,1,,1,,1,
Corporal,,,,,,0,,3,,3,,3,,3,
Master Patrolman/EMT,Master Patrolman/EMT,,,,,1,,2,,2,,2,,2,
Master Patrolman,,,,,,4,,2,,2,,2,,2,
Detective/Master Patrolman/EMT,Detective/Master Patrolman/EMT,Detective/Master Patrolman/EMT,,,,1,,0,,0,,0,,0,
Detective/Master Patrolman,Detective/Master Patrolman,Detective/Master Patrolman,,,,1,,2,,2,,2,,2,
Police Officer/EMT,,,,,,2,,1,,1,,1,,1,
Police Officer,,,,,,4,,3,,3,,4,,3,
Administrative Assistant,Administrative Assistant,,,,,1,,1,,1,,1,,1,
Part Time Officer (FTE),Part Time Officer (FTE),,,,,0.5,,0.5,,0.5,,0.5,,0.5,
Totals,,,,,,23.5,,23.5,,23.5,,24.5,,23.5,
Goals and Objectives,Goals and Objectives,,,,,,,,,,,,,,
"* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.","* Make improvements and upgrades to the police department headquarters building, facilities and equipment.",,
"* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and","* Continue to expand training opportunities for all department personnel, including personal safety and",,
conducting complex criminal investigations.,conducting complex criminal investigations.,conducting complex criminal investigations.,conducting complex criminal investigations.,conducting complex criminal investigations.,,,,,,,,,,,
* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,* Implement a program of annual physical fitness examinations for all police officers.,,,,
* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,* Implement a replacement program for aging body armor and personal protective equipment for all sworn,,
members.,,,,,,,,,,,,,,,
"* Expand the ""Holiday Patrol Program"".","* Expand the ""Holiday Patrol Program"".","* Expand the ""Holiday Patrol Program"".","* Expand the ""Holiday Patrol Program"".","* Expand the ""Holiday Patrol Program"".",,,,,,,,,,,
