Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”,Name: “Table 1 of 1 on page 138 of 217”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,,,,,,,,
,,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,DEBT SERVICE FUND - EXPENDITURES,,,
Debt Service Expenditures,Debt Service Expenditures,,,,,,,,,,
,,,,,,,,,,$,%
,,,,,,FY 2013,,FY 2014,,Change,Change
,,FY 2011,,FY 2012,,Revised,,Adopted,,From 2013,From 2013
,,Actual,,Actual,,Budget,,Budget,,Budget,Budget
School Principal,$,"547,306",$,"498,668",$,"473,447",$,"655,787",$,"182,340",38.5%
School Interest,,"887,518",,"987,203",,"882,516",,"925,668",,"43,152",4.9%
City Principal,,"349,658",,"368,979",,"210,989",,"181,147",,"(29,842)",-14.1%
City Interest,,"247,901",,"277,927",,"232,356",,"262,022",,"29,666",12.8%
Trustee Fees,,"1,250",,"1,250",,"2,000",,"2,400",,400,20.0%
Future Debt Service,,-,,-,,"250,942",,-,,"(250,942)",100.0%
Advance Refunding,,"7,530,556",,"12,099,822",,-,,-,,-,0.0%
Cost of Debt Issuance,,"43,263",,"301,774",,-,,-,,-,0.0%
Totals,$,"9,607,452",$,"14,535,623",$,"2,052,250","$ 2,027,024","$ 2,027,024",$,"(25,226)",-1.2%
Significant Budget Items,Significant Budget Items,,,,,,,,,,
.,,,,,,,,,,,
"* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on","* In FY 2011, the City refunded $9.5 million in debt in order to take advantage of lower interest rates on",
debt while not extending the terms of the original loans.,debt while not extending the terms of the original loans.,debt while not extending the terms of the original loans.,debt while not extending the terms of the original loans.,debt while not extending the terms of the original loans.,,,,,,,
"* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on","* In FY 2012, the City refunded $12.1 million in debt in order to take advantage of lower interest rates on",
debt while extending the terms of the original loans.,debt while extending the terms of the original loans.,debt while extending the terms of the original loans.,debt while extending the terms of the original loans.,,,,,,,,
,,,,102,102,,,,,,
