Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”,Name: “Table 1 of 1 on page 77 of 118”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,,,
,,,,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,Improve Fairmount Park Infrastructure,,,
Department,Department,,,,,,Project Description,Project Description,,
Public Works,Public Works,,,,,Provide funds to continue the installation of storm drainage,Provide funds to continue the installation of storm drainage,Provide funds to continue the installation of storm drainage,Provide funds to continue the installation of storm drainage,Provide funds to continue the installation of storm drainage
,,,,,,"pipes, construction of curbs and gutters, and repair or","pipes, construction of curbs and gutters, and repair or","pipes, construction of curbs and gutters, and repair or","pipes, construction of curbs and gutters, and repair or",
Account #,Account #,,,,,construction of sidewalks which are in poor condition. This,construction of sidewalks which are in poor condition. This,construction of sidewalks which are in poor condition. This,construction of sidewalks which are in poor condition. This,construction of sidewalks which are in poor condition. This
4000 10 3129,4000 10 3129,,,,,project is timed with utility repairs that are currently,project is timed with utility repairs that are currently,project is timed with utility repairs that are currently,project is timed with utility repairs that are currently,
,,,,,,underway. This project is part of the Fairmount/Lafayette,underway. This project is part of the Fairmount/Lafayette,underway. This project is part of the Fairmount/Lafayette,underway. This project is part of the Fairmount/Lafayette,
Wards Corner,Wards Corner,,,,,,,,,
,,,,,,Boulevard Neighborhood Plan. Existing Community,Boulevard Neighborhood Plan. Existing Community,Boulevard Neighborhood Plan. Existing Community,Boulevard Neighborhood Plan. Existing Community,
Neighborhood Plan,Neighborhood Plan,,,,,Development Block Grant (CDBG) and prior year CIP funding,Development Block Grant (CDBG) and prior year CIP funding,Development Block Grant (CDBG) and prior year CIP funding,Development Block Grant (CDBG) and prior year CIP funding,Development Block Grant (CDBG) and prior year CIP funding
Customers Served,Customers Served,,,,,will be utilized to fund this project in FY 2014.,will be utilized to fund this project in FY 2014.,will be utilized to fund this project in FY 2014.,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,0,"1,175,000","1,850,000",0,0,"3,025,000"
FY 2013 Approved,FY 2013 Approved,,,0,"1,175,000","1,850,000",0,0,N/A,"3,025,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"12,627,500",
Construction,Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"3,025,000",
,,Total,,,0,Project Total,Project Total,,"15,652,500",
,,Property Address:,Property Address:,Property Address:,Fairmount Park Area,Fairmount Park Area,,,,
,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 497","Safe, Healthy and Inclusive Communities CIP - 497","Safe, Healthy and Inclusive Communities CIP - 497","Safe, Healthy and Inclusive Communities CIP - 497"
