Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”,Name: “Table 1 of 1 on page 71 of 118”
Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71
,,,,,,,,,
,"Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)","Revitalize, Redevelop, and Conserve Neighborhoods (NP)",
Department,,,,,,Project Description,Project Description,Project Description,
NRHA,,,,,"Provide funds for the revitalization, redevelopment, and","Provide funds for the revitalization, redevelopment, and","Provide funds for the revitalization, redevelopment, and","Provide funds for the revitalization, redevelopment, and",
,,,,,conservation of neighborhoods throughout the city. With this,conservation of neighborhoods throughout the city. With this,conservation of neighborhoods throughout the city. With this,conservation of neighborhoods throughout the city. With this,conservation of neighborhoods throughout the city. With this
Account #,,,,,funding the Norfolk Redevelopment and Housing Authority,funding the Norfolk Redevelopment and Housing Authority,funding the Norfolk Redevelopment and Housing Authority,funding the Norfolk Redevelopment and Housing Authority,funding the Norfolk Redevelopment and Housing Authority
4000 18 4201,,,,,(NRHA) will work in designated conservation and,(NRHA) will work in designated conservation and,(NRHA) will work in designated conservation and,(NRHA) will work in designated conservation and,
,,,,,redevelopment areas to improve neighborhoods. Of this,redevelopment areas to improve neighborhoods. Of this,redevelopment areas to improve neighborhoods. Of this,redevelopment areas to improve neighborhoods. Of this,
Broad Creek,,,,,,,,,
,,,,,"amount $1.0 million is dedicated to Ocean View and $150,000","amount $1.0 million is dedicated to Ocean View and $150,000","amount $1.0 million is dedicated to Ocean View and $150,000","amount $1.0 million is dedicated to Ocean View and $150,000","amount $1.0 million is dedicated to Ocean View and $150,000"
Neighborhood Plan,,,,,"for Park Place. In addition, support will be provided to the","for Park Place. In addition, support will be provided to the","for Park Place. In addition, support will be provided to the","for Park Place. In addition, support will be provided to the",
Customers Served,,,,,"four neighborhood plan areas, Broad Creek, Fairmount,","four neighborhood plan areas, Broad Creek, Fairmount,","four neighborhood plan areas, Broad Creek, Fairmount,","four neighborhood plan areas, Broad Creek, Fairmount,",
,,,,,"Lafayette, Southside, and Wards Corner. This project will be","Lafayette, Southside, and Wards Corner. This project will be","Lafayette, Southside, and Wards Corner. This project will be","Lafayette, Southside, and Wards Corner. This project will be","Lafayette, Southside, and Wards Corner. This project will be"
Residents,Business,City Services,City Services,,used in conjunction with the other Neighborhood Plan (NP),used in conjunction with the other Neighborhood Plan (NP),used in conjunction with the other Neighborhood Plan (NP),used in conjunction with the other Neighborhood Plan (NP),used in conjunction with the other Neighborhood Plan (NP)
Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,projects to meet the goals of the plans.,projects to meet the goals of the plans.,projects to meet the goals of the plans.,projects to meet the goals of the plans.,
,,,,Financial Summary,Financial Summary,Financial Summary,,,
,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,,N/A,"2,100,000","2,100,000","2,500,000","2,500,000","2,500,000","2,500,000","12,100,000"
FY 2013 Approved,,0,,0,0,0,0,N/A,0
Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,,,"2,100,000","2,100,000",FY 2014 Approved,FY 2014 Approved,,"2,100,000",
Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"10,000,000",
,Total,,"2,100,000","2,100,000",Project Total,Project Total,,"12,100,000",
,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,"Safe, Healthy and Inclusive Communities CIP - 491","Safe, Healthy and Inclusive Communities CIP - 491","Safe, Healthy and Inclusive Communities CIP - 491","Safe, Healthy and Inclusive Communities CIP - 491"
