Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”,Name: “Table 1 of 1 on page 116 of 118”
Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116
,,,,,,,,,,
,,,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges
,,,,,,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of
Account #,Account #,,,,,sludge generated during the water purification process.,sludge generated during the water purification process.,sludge generated during the water purification process.,sludge generated during the water purification process.,
5300 33 4115,5300 33 4115,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,N/A,"1,500,000","1,500,000",0,0,"3,000,000","2,000,000","6,500,000"
FY 2013 Approved,FY 2013 Approved,,0,"1,500,000","1,500,000",0,0,"3,000,000",N/A,"4,500,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,"1,500,000","1,500,000",Prior Capital Funding,Prior Capital Funding,,"16,250,000",
Construction,Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,"1,500,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"5,000,000",
,,Total,,"1,500,000","1,500,000",Project Total,,,"22,750,000",
,,Property Address:,Property Address:,6040 Water Works Road,6040 Water Works Road,6040 Water Works Road,,,,
526 - CIP Water Utility,526 - CIP Water Utility,,,,,,,,,
