Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”,Name: “Table 1 of 1 on page 44 of 118”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,,,
,,,Improve Citywide Dredging and Waterways,Improve Citywide Dredging and Waterways,Improve Citywide Dredging and Waterways,Improve Citywide Dredging and Waterways,Improve Citywide Dredging and Waterways,Improve Citywide Dredging and Waterways,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Public Works,Public Works,,,,,Provide funds for the dredging and improvement of,Provide funds for the dredging and improvement of,Provide funds for the dredging and improvement of,Provide funds for the dredging and improvement of,
,,,,,,waterways and their adjacent shorelines.,waterways and their adjacent shorelines.,waterways and their adjacent shorelines.,waterways and their adjacent shorelines.,
Account #,Account #,,,,,,,,,
4000 10 3080,4000 10 3080,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,N/A,"150,000","150,000","150,000","150,000","150,000","150,000","750,000"
FY 2013 Approved,FY 2013 Approved,,"300,000","150,000","150,000","150,000","150,000","150,000",N/A,"900,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,"25,000","25,000",,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"3,810,000",
Construction,Construction,,,"125,000","125,000",FY 2014 Approved,FY 2014 Approved,,"150,000",
Inspections / Permits,Inspections / Permits,,,0,0,Capital Share Remaining,Capital Share Remaining,,"600,000",
,,Total,,"150,000","150,000",Project Total,Project Total,,"4,560,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
468 - CIP Environmental Sustainability,468 - CIP Environmental Sustainability,468 - CIP Environmental Sustainability,468 - CIP Environmental Sustainability,,,,,,,
