Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”,Name: “Table 1 of 1 on page 46 of 118”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,,,,
,,,,Beach Erosion Control,Beach Erosion Control,Beach Erosion Control,Beach Erosion Control,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
City Planning & Comm. Dev.,City Planning & Comm. Dev.,City Planning & Comm. Dev.,,,,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion
,,,,,,"control structures, shoreline modeling, annual wave gauge","control structures, shoreline modeling, annual wave gauge","control structures, shoreline modeling, annual wave gauge","control structures, shoreline modeling, annual wave gauge","control structures, shoreline modeling, annual wave gauge"
Account #,Account #,,,,,"maintenance, sand replenishment, dune maintenance, repair","maintenance, sand replenishment, dune maintenance, repair","maintenance, sand replenishment, dune maintenance, repair","maintenance, sand replenishment, dune maintenance, repair","maintenance, sand replenishment, dune maintenance, repair"
4000 15 3049,4000 15 3049,,,,,and re-vegetation and continuation of the biennial beach,and re-vegetation and continuation of the biennial beach,and re-vegetation and continuation of the biennial beach,and re-vegetation and continuation of the biennial beach,
,,,,,,survey.,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,N/A,"1,100,000","1,100,000","500,000","500,000","500,000","500,000","3,100,000"
FY 2013 Approved,FY 2013 Approved,"1,100,000","1,100,000","1,100,000","1,100,000","500,000","500,000","500,000",N/A,"3,700,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"27,973,500",
Construction,Construction,,,"1,100,000","1,100,000",FY 2014 Approved,FY 2014 Approved,,"1,100,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"2,000,000",
,,Total,,"1,100,000","1,100,000",Project Total,Project Total,,"31,073,500",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
470 - CIP Environmental Sustainability,470 - CIP Environmental Sustainability,470 - CIP Environmental Sustainability,470 - CIP Environmental Sustainability,,,,,,,
