Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”,Name: “Table 1 of 1 on page 73 of 118”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,,,,,
,,Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),Support Fairmount Pk/Laf. Blvd. Neigh. Plan (NP),,
Department,Department,,,,,,Project Description,Project Description,,
Executive,,,,,,Provide funds to support activities outlined in the Fairmount,Provide funds to support activities outlined in the Fairmount,Provide funds to support activities outlined in the Fairmount,Provide funds to support activities outlined in the Fairmount,Provide funds to support activities outlined in the Fairmount
,,,,,,Park/Lafayette Neighborhood Plan. Funding for this project,Park/Lafayette Neighborhood Plan. Funding for this project,Park/Lafayette Neighborhood Plan. Funding for this project,Park/Lafayette Neighborhood Plan. Funding for this project,Park/Lafayette Neighborhood Plan. Funding for this project
Account #,Account #,,,,,"also supports land acquisition, infrastructure improvements,","also supports land acquisition, infrastructure improvements,","also supports land acquisition, infrastructure improvements,","also supports land acquisition, infrastructure improvements,","also supports land acquisition, infrastructure improvements,"
4000 02 3177,4000 02 3177,,,,,and redevelopment initiatives that allow the strategic,and redevelopment initiatives that allow the strategic,and redevelopment initiatives that allow the strategic,and redevelopment initiatives that allow the strategic,
,,,,,,revitalization of the area in accordance with the Fairmount,revitalization of the area in accordance with the Fairmount,revitalization of the area in accordance with the Fairmount,revitalization of the area in accordance with the Fairmount,revitalization of the area in accordance with the Fairmount
Fairmount/Lafayette Blvd.,Fairmount/Lafayette Blvd.,Fairmount/Lafayette Blvd.,,,,,,,,
,,,,,,Park/Lafayette Neighborhood Plan. Norfolk Redevelopment,Park/Lafayette Neighborhood Plan. Norfolk Redevelopment,Park/Lafayette Neighborhood Plan. Norfolk Redevelopment,Park/Lafayette Neighborhood Plan. Norfolk Redevelopment,Park/Lafayette Neighborhood Plan. Norfolk Redevelopment
Neighborhood Plan,Neighborhood Plan,,,,,and Housing Authority (NRHA) will provide support to this,and Housing Authority (NRHA) will provide support to this,and Housing Authority (NRHA) will provide support to this,and Housing Authority (NRHA) will provide support to this,and Housing Authority (NRHA) will provide support to this
Customers Served,Customers Served,,,,,project in an effort to meet the goals of the Fairmount,project in an effort to meet the goals of the Fairmount,project in an effort to meet the goals of the Fairmount,project in an effort to meet the goals of the Fairmount,
,,,,,,Park/Lafayette Neighborhood Plan.,Park/Lafayette Neighborhood Plan.,Park/Lafayette Neighborhood Plan.,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"750,000",0,0,0,0,"750,000"
FY 2013 Approved,FY 2013 Approved,"1,000,000","1,000,000","1,000,000",0,0,0,0,N/A,"1,000,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"3,915,000",
Construction,Construction,,,,"750,000",FY 2014 Approved,FY 2014 Approved,,"750,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"750,000",Project Total,,,"4,665,000",
,,Property Address:,Property Address:,Property Address:,Fairmount Park/Lafayette Boulevard,Fairmount Park/Lafayette Boulevard,Fairmount Park/Lafayette Boulevard,,,
,,,,,,,"Safe, Healthy and Inclusive Communities CIP - 493","Safe, Healthy and Inclusive Communities CIP - 493","Safe, Healthy and Inclusive Communities CIP - 493","Safe, Healthy and Inclusive Communities CIP - 493"
