Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”,Name: “Table 1 of 1 on page 54 of 118”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,,
,,,,Support New Governor's School,Support New Governor's School,Support New Governor's School,,,
Department,,,,,,Project Description,Project Description,,
Executive,,,,,Provide funds for the planning and development of a,Provide funds for the planning and development of a,Provide funds for the planning and development of a,Provide funds for the planning and development of a,
,,,,,proposed Governor's School. Governor's Schools give,proposed Governor's School. Governor's Schools give,proposed Governor's School. Governor's Schools give,proposed Governor's School. Governor's Schools give,
Account #,,,,,students opportunities beyond those normally available in the,students opportunities beyond those normally available in the,students opportunities beyond those normally available in the,students opportunities beyond those normally available in the,students opportunities beyond those normally available in the
N/A,,,,,students' home schools. Students are able to focus on a,students' home schools. Students are able to focus on a,students' home schools. Students are able to focus on a,students' home schools. Students are able to focus on a,students' home schools. Students are able to focus on a
,,,,,specific areas of interest and each program stresses,specific areas of interest and each program stresses,specific areas of interest and each program stresses,specific areas of interest and each program stresses,
,,,,,non-traditional teaching and learning techniques.,non-traditional teaching and learning techniques.,non-traditional teaching and learning techniques.,non-traditional teaching and learning techniques.,
Customers Served,,,,,,,,,
Residents,Business,,City Services,,,,,,
Educational Community,Educational Community,v,Tourists/Visitors,,,,,,
,,,,Financial Summary,Financial Summary,,,,
,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,,,N/A,0,"250,000",0,0,0,"250,000"
FY 2013 Approved,,,0,0,0,0,0,N/A,0
Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"250,000",
,Total,,,0,Project Total,,,"250,000",
,Property Address:,Property Address:,Property Address:,To Be Determined,To Be Determined,,,,
476 - CIP Lifelong Learning,476 - CIP Lifelong Learning,476 - CIP Lifelong Learning,,,,,,,
