Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”,Name: “Table 1 of 1 on page 113 of 118”
Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113
,,,,,,,,,
,,Replace Combined Operations Building HVAC,Replace Combined Operations Building HVAC,Replace Combined Operations Building HVAC,Replace Combined Operations Building HVAC,Replace Combined Operations Building HVAC,Replace Combined Operations Building HVAC,,
Department,,,,,,Project Description,Project Description,,
Water Utility,,,,,"Replace the Heating, Ventilating, and Air Conditioning (HVAC)","Replace the Heating, Ventilating, and Air Conditioning (HVAC)","Replace the Heating, Ventilating, and Air Conditioning (HVAC)","Replace the Heating, Ventilating, and Air Conditioning (HVAC)","Replace the Heating, Ventilating, and Air Conditioning (HVAC)"
,,,,,system at the Combined Operation Building.,system at the Combined Operation Building.,system at the Combined Operation Building.,,
Account #,,,,,,,,,
N/A,,,,,,,,,
Customers Served,,,,,,,,,
Residents,Business,City Services,City Services,v,,,,,
Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,Financial Summary,Financial Summary,,,,
,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,,N/A,,0,"490,000",0,0,0,"490,000"
FY 2013 Approved,,0,,0,0,0,0,N/A,0
Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"490,000",
,Total,,,0,Project Total,,,"490,000",
,Property Address:,Property Address:,1316 Ballentine Blvd.,1316 Ballentine Blvd.,1316 Ballentine Blvd.,,,,
,,,,,,,,Water Utility CIP - 523,Water Utility CIP - 523
