Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”,Name: “Table 1 of 1 on page 53 of 118”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,,
,,,,,Construct or Renovate Schools,Construct or Renovate Schools,Construct or Renovate Schools,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Executive,,,,,,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete
,,,,,,"major renovations of existing school buildings. In FY 2013,","major renovations of existing school buildings. In FY 2013,","major renovations of existing school buildings. In FY 2013,","major renovations of existing school buildings. In FY 2013,","major renovations of existing school buildings. In FY 2013,"
Account #,Account #,,,,,"prior funds of $9.45 million ($2.25 million in FY 2003, $5.0","prior funds of $9.45 million ($2.25 million in FY 2003, $5.0","prior funds of $9.45 million ($2.25 million in FY 2003, $5.0","prior funds of $9.45 million ($2.25 million in FY 2003, $5.0",
4000 02 3139,4000 02 3139,,,,,"million in FY 2011, $2.2 million in FY 2012) were available for","million in FY 2011, $2.2 million in FY 2012) were available for","million in FY 2011, $2.2 million in FY 2012) were available for","million in FY 2011, $2.2 million in FY 2012) were available for","million in FY 2011, $2.2 million in FY 2012) were available for"
,,,,,,planning and design of two new schools. Five-year funding,planning and design of two new schools. Five-year funding,planning and design of two new schools. Five-year funding,planning and design of two new schools. Five-year funding,planning and design of two new schools. Five-year funding
,,,,,,provides for the construction of four schools. The,provides for the construction of four schools. The,provides for the construction of four schools. The,provides for the construction of four schools. The,
,,,,,,construction of two schools has been accelerated due to the,construction of two schools has been accelerated due to the,construction of two schools has been accelerated due to the,construction of two schools has been accelerated due to the,construction of two schools has been accelerated due to the
Customers Served,Customers Served,,,,,"creation of the school construction, technology, and","creation of the school construction, technology, and","creation of the school construction, technology, and","creation of the school construction, technology, and",
,,,,,,infrastructure (CTI) program funded by the real estate tax rate,infrastructure (CTI) program funded by the real estate tax rate,infrastructure (CTI) program funded by the real estate tax rate,infrastructure (CTI) program funded by the real estate tax rate,infrastructure (CTI) program funded by the real estate tax rate
Residents,v,Business,,City Services,,increase of 2 cents.,increase of 2 cents.,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"24,600,000","10,000,000","4,400,000","29,600,000","10,000,000","78,600,000"
FY 2013 Approved,FY 2013 Approved,,,0,"24,600,000","10,000,000","4,400,000",0,N/A,"39,000,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"36,870,525",
Construction,Construction,,,,"24,600,000",FY 2014 Approved,FY 2014 Approved,,"24,600,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"54,000,000",
,,Total,,,"24,600,000",Project Total,Project Total,,"115,470,525",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
,,,,,,,,,Lifelong Learning CIP - 475,Lifelong Learning CIP - 475
