Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”,Name: “Table 1 of 1 on page 28 of 118”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,
,,,,Repair and Maintain Bridges - Minor,Repair and Maintain Bridges - Minor,Repair and Maintain Bridges - Minor,Repair and Maintain Bridges - Minor,Repair and Maintain Bridges - Minor,,,
Department,Department,,,,,,,Project Description,Project Description,Project Description,
Public Works,Public Works,,,,,,Provide funds for the routine minor repairs and maintenance,Provide funds for the routine minor repairs and maintenance,Provide funds for the routine minor repairs and maintenance,Provide funds for the routine minor repairs and maintenance,Provide funds for the routine minor repairs and maintenance
,,,,,,,of bridges. Repairs may include bridge coating and corrosion,of bridges. Repairs may include bridge coating and corrosion,of bridges. Repairs may include bridge coating and corrosion,of bridges. Repairs may include bridge coating and corrosion,of bridges. Repairs may include bridge coating and corrosion
Account #,Account #,,,,,,"protection, concrete repair, joint sealing, bearing pad","protection, concrete repair, joint sealing, bearing pad","protection, concrete repair, joint sealing, bearing pad","protection, concrete repair, joint sealing, bearing pad",
4000 10 3021,4000 10 3021,,,,,,"replacement, embankment repair and lighting upgrades. FY","replacement, embankment repair and lighting upgrades. FY","replacement, embankment repair and lighting upgrades. FY","replacement, embankment repair and lighting upgrades. FY","replacement, embankment repair and lighting upgrades. FY"
,,,,,,,2014 funds may be used as a 50 percent match for Virginia,2014 funds may be used as a 50 percent match for Virginia,2014 funds may be used as a 50 percent match for Virginia,2014 funds may be used as a 50 percent match for Virginia,2014 funds may be used as a 50 percent match for Virginia
,,,,,,,Department of Transportations' projects for the Indian River,Department of Transportations' projects for the Indian River,Department of Transportations' projects for the Indian River,Department of Transportations' projects for the Indian River,Department of Transportations' projects for the Indian River
,,,,,,,Road over Pescara Creek and Indian River Road over Spotico,Road over Pescara Creek and Indian River Road over Spotico,Road over Pescara Creek and Indian River Road over Spotico,Road over Pescara Creek and Indian River Road over Spotico,Road over Pescara Creek and Indian River Road over Spotico
Customers Served,Customers Served,,,,,,Creek projects.,Creek projects.,,,
Residents,v,Business,v,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"250,000","250,000","250,000","250,000","250,000","250,000","1,250,000"
FY 2013 Approved,FY 2013 Approved,,"400,000","400,000","250,000","250,000","250,000","250,000","250,000",N/A,"1,400,000"
Estimated Operating,Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,"25,000","25,000",,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,Site Improvements,,,,"225,000","225,000",Prior Capital Funding,Prior Capital Funding,,"6,825,000",
Construction,Construction,,,,,0,FY 2014 Approved,FY 2014 Approved,,"250,000",
Inspections / Permits,Inspections / Permits,,,,0,0,Capital Share Remaining,Capital Share Remaining,,"1,000,000",
,,Total,,,"250,000","250,000",Project Total,Project Total,,"8,075,000",
,,Property Address:,Property Address:,Property Address:,Citywide,Citywide,,,,,
"456 - CIP Accessibility, Mobility and Connectivity","456 - CIP Accessibility, Mobility and Connectivity","456 - CIP Accessibility, Mobility and Connectivity","456 - CIP Accessibility, Mobility and Connectivity","456 - CIP Accessibility, Mobility and Connectivity","456 - CIP Accessibility, Mobility and Connectivity","456 - CIP Accessibility, Mobility and Connectivity",,,,,
