Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”,Name: “Table 1 of 1 on page 114 of 118”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,,,,,,,
,,,,,Replace Master Meters,Replace Master Meters,,,,
Department,Department,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,Provide funds to replace water distribution master meters that,Provide funds to replace water distribution master meters that,Provide funds to replace water distribution master meters that,Provide funds to replace water distribution master meters that,Provide funds to replace water distribution master meters that
,,,,,,are no longer being supported by the manufacturer.,are no longer being supported by the manufacturer.,are no longer being supported by the manufacturer.,are no longer being supported by the manufacturer.,
Account #,Account #,,,,,,,,,
5300 33 4169,5300 33 4169,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,0,"120,000",0,"120,000",0,"240,000"
FY 2013 Approved,FY 2013 Approved,,"120,000","120,000",0,"120,000",0,"120,000",N/A,"360,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"220,000",
Construction,Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"240,000",
,,Total,,,0,Project Total,,,"460,000",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
524 - CIP Water Utility,524 - CIP Water Utility,,,,,,,,,
