Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”,Name: “Table 1 of 1 on page 108 of 118”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,
,,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,,
Department,Department,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster
,,,,,,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical
Account #,Account #,,,,,feed goes offline.,,,,
5300 33 4195,5300 33 4195,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"150,000",0,0,0,0,"150,000"
FY 2013 Approved,FY 2013 Approved,,,0,"150,000",0,0,0,N/A,"150,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,"150,000",Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,"150,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"150,000",Project Total,,,"150,000",
,,Property Address:,Property Address:,Property Address:,Little Creek,,,,,
518 - CIP Water Utility,518 - CIP Water Utility,,,,,,,,,
