Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”,Name: “Table 1 of 1 on page 112 of 118”
Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112
,,,,,,,,,
,,,Repair Fishing Facilities and Boat Ramps,Repair Fishing Facilities and Boat Ramps,Repair Fishing Facilities and Boat Ramps,Repair Fishing Facilities and Boat Ramps,,,
Department,Department,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,Provide funds for maintenance and operation of Utilities',Provide funds for maintenance and operation of Utilities',Provide funds for maintenance and operation of Utilities',Provide funds for maintenance and operation of Utilities',Provide funds for maintenance and operation of Utilities'
,,,,,fishing facilities and boat ramps located at Lake Prince and,fishing facilities and boat ramps located at Lake Prince and,fishing facilities and boat ramps located at Lake Prince and,fishing facilities and boat ramps located at Lake Prince and,fishing facilities and boat ramps located at Lake Prince and
Account #,Account #,,,,Western Branch Reservoirs in Suffolk. The Department of,Western Branch Reservoirs in Suffolk. The Department of,Western Branch Reservoirs in Suffolk. The Department of,Western Branch Reservoirs in Suffolk. The Department of,Western Branch Reservoirs in Suffolk. The Department of
N/A,,,,,Utilities is responsible for the maintenance and operation of,Utilities is responsible for the maintenance and operation of,Utilities is responsible for the maintenance and operation of,Utilities is responsible for the maintenance and operation of,Utilities is responsible for the maintenance and operation of
,,,,,fishing facilities owned and located at Lake Prince and,fishing facilities owned and located at Lake Prince and,fishing facilities owned and located at Lake Prince and,fishing facilities owned and located at Lake Prince and,
,,,,,Western Branch.,,,,
Customers Served,Customers Served,,,,,,,,
Residents,v,Business,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,N/A,0,"100,000",0,0,0,"100,000"
FY 2013 Approved,FY 2013 Approved,,0,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"100,000",
,,Total,,0,Project Total,,,"100,000",
,,Property Address:,Property Address:,Citywide,,,,,
522 - CIP Water Utility,522 - CIP Water Utility,,,,,,,,
