Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”,Name: “Table 1 of 1 on page 105 of 118”
Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105
,,,,,,,,,,
,,,Implement Automated Meter Reading System,Implement Automated Meter Reading System,Implement Automated Meter Reading System,Implement Automated Meter Reading System,Implement Automated Meter Reading System,Implement Automated Meter Reading System,,
Department,Department,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,Provide funds for the procurement of qualified consultants to,Provide funds for the procurement of qualified consultants to,Provide funds for the procurement of qualified consultants to,Provide funds for the procurement of qualified consultants to,Provide funds for the procurement of qualified consultants to
,,,,,,"perform a comprehensive, unbiased review of current, and","perform a comprehensive, unbiased review of current, and","perform a comprehensive, unbiased review of current, and","perform a comprehensive, unbiased review of current, and","perform a comprehensive, unbiased review of current, and"
Account #,Account #,,,,,emerging alternative meter reading system technologies.,emerging alternative meter reading system technologies.,emerging alternative meter reading system technologies.,emerging alternative meter reading system technologies.,emerging alternative meter reading system technologies.
5300 33 1109,5300 33 1109,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"300,000",0,0,0,0,"300,000"
FY 2013 Approved,FY 2013 Approved,,,0,"300,000",0,0,0,N/A,"300,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,"300,000",Prior Capital Funding,Prior Capital Funding,,"300,000",
Construction,Construction,,,,0,FY 2014 Approved,FY 2014 Approved,,"300,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"300,000",Project Total,,,"600,000",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
,,,,,,,,,Water Utility CIP - 515,Water Utility CIP - 515
