Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”,Name: “Table 1 of 1 on page 110 of 118”
Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110,Table: 110
,,,,,,,,,
,,,Rehabilitate Nottoway River Pump Station,Rehabilitate Nottoway River Pump Station,Rehabilitate Nottoway River Pump Station,Rehabilitate Nottoway River Pump Station,,,
Department,Department,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,Provide funds for evaluation and design services to replace the,Provide funds for evaluation and design services to replace the,Provide funds for evaluation and design services to replace the,Provide funds for evaluation and design services to replace the,Provide funds for evaluation and design services to replace the
,,,,,traveling screens and rehabilitate the existing Nottoway River,traveling screens and rehabilitate the existing Nottoway River,traveling screens and rehabilitate the existing Nottoway River,traveling screens and rehabilitate the existing Nottoway River,traveling screens and rehabilitate the existing Nottoway River
Account #,Account #,,,,Pump Station which was built in the 1940’s and transferred to,Pump Station which was built in the 1940’s and transferred to,Pump Station which was built in the 1940’s and transferred to,Pump Station which was built in the 1940’s and transferred to,Pump Station which was built in the 1940’s and transferred to
5300 33 4128,5300 33 4128,,,,the city by the federal government.,the city by the federal government.,the city by the federal government.,,
Customers Served,Customers Served,,,,,,,,
Residents,v,Business,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,,,,,,
,,,,Financial Summary,Financial Summary,,,,
,,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,N/A,0,0,0,0,"5,000,000","5,000,000"
FY 2013 Approved,FY 2013 Approved,,0,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,0,,,,,
Site Improvements,Site Improvements,,,0,Prior Capital Funding,Prior Capital Funding,,"4,500,000",
Construction,Construction,,,0,FY 2014 Approved,FY 2014 Approved,,,0
Inspections / Permits,Inspections / Permits,,,0,Capital Share Remaining,Capital Share Remaining,,"5,000,000",
,,Total,,0,Project Total,,,"9,500,000",
,,Property Address:,Property Address:,"21350 Plank Road, Courtland, Va","21350 Plank Road, Courtland, Va","21350 Plank Road, Courtland, Va",,,
520 - CIP Water Utility,520 - CIP Water Utility,,,,,,,,
