Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”,Name: “Table 1 of 1 on page 51 of 118”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,,,
,,,,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Executive,,,,,,Provide support for major maintenance and repair to school,Provide support for major maintenance and repair to school,Provide support for major maintenance and repair to school,Provide support for major maintenance and repair to school,Provide support for major maintenance and repair to school
,,,,,,facilities. Expenditures in this category help preserve the life,facilities. Expenditures in this category help preserve the life,facilities. Expenditures in this category help preserve the life,facilities. Expenditures in this category help preserve the life,facilities. Expenditures in this category help preserve the life
Account #,Account #,,,,,"of buildings, perform major preventative maintenance and","of buildings, perform major preventative maintenance and","of buildings, perform major preventative maintenance and","of buildings, perform major preventative maintenance and","of buildings, perform major preventative maintenance and"
4000 02 3193,4000 02 3193,,,,,"significant repairs. Each year, prior to the distribution of funds,","significant repairs. Each year, prior to the distribution of funds,","significant repairs. Each year, prior to the distribution of funds,","significant repairs. Each year, prior to the distribution of funds,","significant repairs. Each year, prior to the distribution of funds,"
,,,,,,Norfolk Public Schools shall provide a list of planned projects,Norfolk Public Schools shall provide a list of planned projects,Norfolk Public Schools shall provide a list of planned projects,Norfolk Public Schools shall provide a list of planned projects,Norfolk Public Schools shall provide a list of planned projects
,,,,,,as well as the results of the prior year's efforts.,as well as the results of the prior year's efforts.,as well as the results of the prior year's efforts.,as well as the results of the prior year's efforts.,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,,City Services,,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2013,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,TOTAL
FY 2014 Approved,FY 2014 Approved,,,N/A,"3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","13,000,000"
FY 2013 Approved,FY 2013 Approved,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000",N/A,"14,000,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,FY 2014 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"17,500,000",
Construction,Construction,,,,"3,000,000",FY 2014 Approved,FY 2014 Approved,,"3,000,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"10,000,000",
,,Total,,,"3,000,000",Project Total,Project Total,,"30,500,000",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
,,,,,,,,,Lifelong Learning CIP - 473,Lifelong Learning CIP - 473
