Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”,Name: “Table 1 of 1 on page 69 of 171”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,,,,,
,,,,,,,,,,,,
Courthouse,Courthouse,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,,,
"This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located"
on,Monticello,Avenue.,The,Courthouse,includes,the,Circuit,"Court,",District,"Court,",Juvenile,and
"Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.",
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,
,,,,,FY 13,,FY 14,FY 14,,FY 14,,
,,,,,Adopted,,Plan,Plan,,Adopted,,
,,Personnel,Personnel,$,"136,661",$,"139,139","139,139",$,"142,487","142,487",
,,Operating,Operating,,"406,700",,"406,700","406,700",,"399,700","399,700",
Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,,"(92,915)",,"(93,338)","(93,338)",,"(93,581)","(93,581)",
,,,Total,$,"450,446",$,"452,501","452,501",$,"448,606","448,606",
PERSONNEL,PERSONNEL,,,,,,,,,,,
,Full-time Personnel,Full-time Personnel,Full-time Personnel,,2,,,2,,2,2,
,Part-time Personnel,Part-time Personnel,Part-time Personnel,,1,,,1,,1,1,
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,
The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.26 percent of the operating
costs in FY2014 under the terms of the contract.,costs in FY2014 under the terms of the contract.,costs in FY2014 under the terms of the contract.,costs in FY2014 under the terms of the contract.,costs in FY2014 under the terms of the contract.,Utility savings are shown for this building.,Utility savings are shown for this building.,Utility savings are shown for this building.,Utility savings are shown for this building.,Utility savings are shown for this building.,Utility savings are shown for this building.,Utility savings are shown for this building.,
,,,,,Page C-10,Page C-10,,,,,,
