Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”,Name: “Table 1 of 1 on page 111 of 171”
Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Contributions to Other Funds,Contributions to Other Funds,Contributions to Other Funds,Contributions to Other Funds,Contributions to Other Funds,Contributions to Other Funds,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
PURPOSE,,,,,,,,,,,,,
This budget,"records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the","records the County's contribution from the General Fund to Other Funds, including the"
"Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.","Community Development Fund, Special Projects Fund and the Social Services Fund.",This budget also,This budget also
provides,funding,for,debt,service,"payments,",including,including,bonds,and,lease-purchase,lease-purchase,agreements,for
nonschool projects.,nonschool projects.,nonschool projects.,,,,,,,,,,,
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,
,,,,,,FY 13,,FY 14,FY 14,,,FY 14,
,,,,,,Adopted,,Plan,Plan,,,Adopted,
,,Special Projects,Special Projects,Special Projects,$,-,$,,,-,$,"255,000",
,,Capital Projects,Capital Projects,Capital Projects,,"2,000,000",,"2,000,000","2,000,000","2,000,000",,"2,302,000",
,Housing Development,Housing Development,Housing Development,Housing Development,,"150,000",,"150,000","150,000","150,000",,"100,000",
Colonial Community Corrections,Colonial Community Corrections,Colonial Community Corrections,Colonial Community Corrections,Colonial Community Corrections,,"34,470",,"36,913","36,913","36,913",,"42,898",
,,,Debt Service,Debt Service,,"2,450,000",,"2,500,000","2,500,000","2,500,000",,"2,500,000",
,,Social Services,Social Services,Social Services,,"1,587,616",,"1,621,590","1,621,590","1,621,590",,"1,534,173",
Comprehensive Services Act,Comprehensive Services Act,Comprehensive Services Act,Comprehensive Services Act,Comprehensive Services Act,,"367,426",,"367,426","367,426","367,426",,"367,426",
,,,Housing and,Housing and,,,,,,,,,
,Community Development,Community Development,Community Development,Community Development,,"480,059",,"483,508","483,508","483,508",,"485,664",
,Tourism Investment Fund,Tourism Investment Fund,Tourism Investment Fund,Tourism Investment Fund,,"1,170,000",,"1,170,000","1,170,000","1,170,000",,"1,299,000",
,,,,Total,$,"8,239,571",$,"8,329,437","8,329,437","8,329,437",$,"8,886,161",
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,
Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital),Program details may be found in the separate budgets for these activities found in Sections D (Capital)
and F of this budget,and F of this budget,and F of this budget,,,,,,,,,,,
,,,,,,Page C-52,Page C-52,,,,,,
