Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”,Name: “Table 1 of 1 on page 149 of 171”
Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149,Table: 149
,,,,,,,,,,,
Budgeted Employment Data,,,,,,All Funds,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Fire/Emergency Medical,F/T,95,101,104,108,111,111,111,110,110,110
Services,P/T,0,0,0,0,0,0,0,0,1,1
Fleet and Equipment,F/T,6,8,8,8,8,7,8,8,8,8
,P/T,0,0,0,0,0,0,0,0,0,0
General and Capital Services,F/T,2.5,4.5,6.5,6.5,6.5,6.5,5.5,7,8,8
,P/T,0,0,0,0,0,0,0,0,0,0
Grounds Maintenance,F/T,15,13,16,21,21,20,22,22,24,24
,P/T,1,1,1,1,1,1,1,1,1,1
Human Resources,F/T,7,8,8,8,8,7,7,7,7,7
,P/T,2,1,1,1,1,2,0,0,0,0
Information Resources,F/T,19,20,20,21,21,21,20,21,21,21
Management,P/T,1,1,1,1,1,0,0,0,0,0
Mosquito Control,F/T,1,1,1,1,1,0,0,0,0,0
,P/T,0,0,0,0,0,0,0,0,0,0
Neighborhood Connections,F/T,3,3,4,4,4,2,0,0,0,0
,P/T,1,1,1,1,1,1,0,0,0,0
Parks and Recreation,F/T,43,45,52,56,54,53,48,49,48,48
,P/T,36,37,29,29,29,23,16,14,14,14
Planning,F/T,16.5,17.5,17.5,19.5,19.5,17.5,12.5,10.5,10,10
,P/T,1,2,2,0,0,1,1,1,1,1
Police Department,F/T,74,78,87,94,97,98,98,98,98,99
,P/T,0,0,0,0,0,0,0,0,0,0
Purchasing,F/T,3,3,3,3,3,3,3,4,4,4
,P/T,0,0,0,0,0,0,0,0,0,0
Real Estate Assessments,F/T,11,11,12,13,13,11,10,9,10,10
,P/T,0,0,0,0,0,0,0,0,0,0
Satellite Services Office,F/T,2,2,2,3,3,3,3,3,3,3
,P/T,2,2,2,2,2,1,1,1,1,1
Sheriff,F/T,18,18,18,18,18,18,16,16,16,16
,P/T,0,0,0,0,0,0,0,0,0,0
Solid Waste Management,F/T,6,6,7,7,7,7,6,6,5,5
,P/T,3,3,2,2,2,2,1,1,1,1
Stormwater,F/T,0,0,0,9,8.5,6.5,6.5,4,4,4
,P/T,0,0,0,0,0,0,0,1,1,1
Treasurer,F/T,13,13,13,13,13,13,12,11,12,12
,P/T,0,0,0,0,0,0,0,1,1,1
Voter Registration and Elections,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,1,1,1,1,1,1,1,1,1,1
Zoning Enforcement,F/T,0,0,0,0,0,0,3,4,4,4
,P/T,0,0,0,0,0,0,0,0,0,0
Total General Fund,F/T,492.5,512.5,548.5,586.5,584.0,563.0,541.0,541.0,542.0,543.0
,P/T,70,70,53.0,49.0,49.0,43.0,30.0,31.0,32.0,32.0
___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________,___________________________________________________________________________________________________________________________
,,,,Page G-2,Page G-2,,,,,,
