Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”,Name: “Table 1 of 1 on page 53 of 171”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,
,,,,,,,,
Revenue from Use of Money and Property,Revenue from Use of Money and Property,Revenue from Use of Money and Property,Revenue from Use of Money and Property,,,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,,FY 13,,FY 13,,FY 14,,FY 14
,,Adopted,,Projected,,Plan,,Adopted
Rent,$,"185,000",$,"185,000",$,"185,000",$,"185,000"
BUDGET COMMENTS,,,,,,,,
Rent payments from the leasing of radio tower space are shown here.,Rent payments from the leasing of radio tower space are shown here.,Rent payments from the leasing of radio tower space are shown here.,Rent payments from the leasing of radio tower space are shown here.,Rent payments from the leasing of radio tower space are shown here.,Rent payments from the leasing of radio tower space are shown here.,,,
,,,Page B-7,Page B-7,,,,
