Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”,Name: “Table 1 of 1 on page 125 of 171”
Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125
,,,,,,,,,,,,,,
James City Service Authority,James City Service Authority,James City Service Authority,James City Service Authority,James City Service Authority,,,,,,,,,Water Fund,Water Fund
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,,,,,
,,,,,,,FY 11,FY 11,,FY 12,,FY 13,FY 14,FY 14
,,,,,,,Actual,Actual,,Actual,,Adopted,Adopted,Adopted
,Drinking water produced (millions of,Drinking water produced (millions of,Drinking water produced (millions of,Drinking water produced (millions of,Drinking water produced (millions of,,,,,,,,,
,,,,,gallons),,"1,904M","1,904M","1,904M","1,752M","1,752M","1,886M","1,850M","1,850M"
,Drinking water customers served,Drinking water customers served,Drinking water customers served,Drinking water customers served,Drinking water customers served,,,"19,719","19,719","20,070","20,070","20,378",,"20,786"
,,Miles of water pipe maintained,Miles of water pipe maintained,Miles of water pipe maintained,Miles of water pipe maintained,,,393,393,,390,415,,407
% Water (MGD) withdrawal versus DEQ,% Water (MGD) withdrawal versus DEQ,% Water (MGD) withdrawal versus DEQ,% Water (MGD) withdrawal versus DEQ,% Water (MGD) withdrawal versus DEQ,% Water (MGD) withdrawal versus DEQ,,,,,,,,,
,,,,,Permit,,,58.4%,58.4%,62%,62%,65%,,65%
