Name: “Table 1 of 1 on page 3 of 171”,Name: “Table 1 of 1 on page 3 of 171”,Name: “Table 1 of 1 on page 3 of 171”,Name: “Table 1 of 1 on page 3 of 171”
Table: 3,Table: 3,Table: 3,Table: 3
,,,
JAMES,CITY,COUNTY,
Table of Contents,Table of Contents,Table of Contents,
FY 2014 ADOPTED BUDGET,FY 2014 ADOPTED BUDGET,FY 2014 ADOPTED BUDGET,
,Introduction,Introduction,
County Officials and Form of Government,,,i
Organization Chart,,,ii
Strategic Plan,,,iii
FY2012 Annual Report,,,1-10
The Budget - An Overview,,,11-16
Statement of Fiscal Goals,,,17-20
Section A - County Administrator's Budget Message,Section A - County Administrator's Budget Message,Section A - County Administrator's Budget Message,
County Administrator's Budget Message,,,A-1
FY 14 - Where Each Dollar in the County Comes from and will be Spent,FY 14 - Where Each Dollar in the County Comes from and will be Spent,FY 14 - Where Each Dollar in the County Comes from and will be Spent,A-14
Changes from Proposed to Adopted FY 14 Budget,Changes from Proposed to Adopted FY 14 Budget,,A-15
Section B - General Fund Revenues,Section B - General Fund Revenues,Section B - General Fund Revenues,
Detailed Summary Revenues,,,B-1
General Property Taxes,,,B-2
Other Local Taxes,,,B-4
"Licenses, Permits, and Fees",,,B-5
Fines and Forfeitures,,,B-6
Revenue from Use of Money and Property,,,B-7
Revenue from the Commonwealth,,,B-8
Revenue from the Federal Government,,,B-10
Charges for Current Services,,,B-11
Miscellaneous Revenues,,,B-12
Section C - General Fund Expenditures,Section C - General Fund Expenditures,Section C - General Fund Expenditures,
Detailed Summary Expenditures,,,C-1
Administrative Services,,,
Board of Supervisors,,,C-3
County Administration,,,C-4
County Attorney,,,C-5
Communications,,,C-6
Economic Development,,,C-7
Human Resources,,,C-8
Voter Registration and Elections,,,C-9
,- 1 -,,
