Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”,Name: “Table 1 of 1 on page 169 of 171”
Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169,Table: 169
,,,,,,,
,,,Assessed and Estimated Actual Value of Taxable Property,Assessed and Estimated Actual Value of Taxable Property,Assessed and Estimated Actual Value of Taxable Property,Assessed and Estimated Actual Value of Taxable Property,
,,,,,,Real Property and,
,,,Assessed Value,Assessed Value,,Public Service,Personal Property
,,,,,Total,Percentage of,Percentage
Fiscal,Fiscal,Real,Personal,Public,Assessed,Estimated,of Estimated
,Year,Property,Property,Service*,Value,Actual Value,Actual Value
,2005,"6,695,142,900","639,376,935","154,833,875","7,489,353,710",100.00,**
,2006,"8,189,928,900","693,850,170","165,476,326","9,049,255,396",100.00,**
,2007,"9,821,638,100","730,150,755","152,475,702","10,704,264,557",100.00,**
,2008,"10,672,714,225","761,010,321","176,428,097","11,610,152,643",100.00,**
,2009,"11,005,655,000","750,654,235","184,750,991","11,941,060,226",100.00,**
,2010,"11,155,493,300","741,196,285","196,289,584","12,092,979,169",100.00,**
,2011,"11,172,929,700","768,751,597","210,802,200","12,152,483,497",100.00,**
,2012,"11,316,807,900","802,225,966","222,670,868","12,341,704,734",100.00,**
2013 (Est),2013 (Est),"10,921,180,200","840,000,000","215,244,615","11,976,424,815",100.00,**
2014 (Est),2014 (Est),"11,052,296,880","869,400,000","215,244,615","12,136,941,495",100.00,**
**,Personal Property assessed as follows:,Personal Property assessed as follows:,Mobile Homes at 100 percent of Estimated Actual Value;,Mobile Homes at 100 percent of Estimated Actual Value;,Mobile Homes at 100 percent of Estimated Actual Value;,Machinery and Tools at,Machinery and Tools at
,25 percent of capitalized cost; Vehicles at 100 percent.,25 percent of capitalized cost; Vehicles at 100 percent.,25 percent of capitalized cost; Vehicles at 100 percent.,25 percent of capitalized cost; Vehicles at 100 percent.,,,
Source:,Source:,"Real Estate Assessments and Commissioner of the Revenue, James City County.","Real Estate Assessments and Commissioner of the Revenue, James City County.","Real Estate Assessments and Commissioner of the Revenue, James City County.","Real Estate Assessments and Commissioner of the Revenue, James City County.",,
"*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates.","*Real Property and Public Service figures for 2013 are actual, all other figures for FY2013-FY2014 are estimates."
,,,,Page G-22,Page G-22,,
