Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”,Name: “Table 1 of 1 on page 77 of 171”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,
,,,,,,,,
Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,Fire/Emergency Medical Services,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
KEY WORKPLAN ITEMS,KEY WORKPLAN ITEMS,,,,,,,
1.,"Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five","Provide fire protection, prevention, emergency medical, and other emergency services from five"
,stations strategically located throughout the County,stations strategically located throughout the County,stations strategically located throughout the County,stations strategically located throughout the County,,,,
2.,"Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a","Enforce the Fire Prevention Code through the Fire Marshal’s Office, including conducting a"
,"projected 2,000 inspections","projected 2,000 inspections",,,,,,
3.,"Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle","Investigate a projected 140 fire code violations, threats and incidents, including structure, vehicle"
,and outside fires; hazmat scenes; and bombs/explosives,and outside fires; hazmat scenes; and bombs/explosives,and outside fires; hazmat scenes; and bombs/explosives,and outside fires; hazmat scenes; and bombs/explosives,,,,
4.,"Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and","Complete a projected 24,000 hours of training to maintain and enhance emergency medical and"
,"firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and","firefighting skills at the Fire Training Center, fire stations, Tidewater Regional Fire Academy, and"
,other facilities,,,,,,,
5.,"Respond to a projected 9,500 calls for emergency response","Respond to a projected 9,500 calls for emergency response","Respond to a projected 9,500 calls for emergency response","Respond to a projected 9,500 calls for emergency response",,,,
6.,"Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital","Provide basic and advanced pre-hospital life support care to a projected 6,300 patients and hospital"
,"transportation for a projected 5,100 of those patients","transportation for a projected 5,100 of those patients","transportation for a projected 5,100 of those patients","transportation for a projected 5,100 of those patients",,,,
BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,
,,,FY 13,,FY 14,,FY 14,
,,,Adopted,,Plan,,Adopted,
,Personnel,$,"9,063,841",$,"9,182,842",$,"9,456,389",
,Operating,,"643,900",,"653,600",,"641,540",
,Capital,,"126,500",,"190,900",,"172,800",
,Credits/Other,,"(15,000)",,"(15,000)",,"(36,500)",
,Total,$,"9,819,241",$,"10,012,342",$,"10,234,229",
PERSONNEL,,,,,,,,
,Full-time Personnel,,110,,110,,110,
,Part-time Personnel,,1,,1,,1,
PERFORMANCE MEASURES,PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,,
,,,FY 11,,FY 12,,FY 13,FY 14
,,,Actual,,Actual,Adopted,,Adopted
Average response time for first arriving,Average response time for first arriving,Average response time for first arriving,,,,,,
,unit (all incidents),unit (all incidents),5:43,5:43,5:40,,5:46,5:46
# Calls for emergency medical services,# Calls for emergency medical services,# Calls for emergency medical services,"5,956","5,956","6,147",,"6,250","6,400"
# Calls for fires and other emergencies,# Calls for fires and other emergencies,# Calls for fires and other emergencies,"2,786","2,786","3,178",,"3,025","3,100"
,Training hours for career staff,Training hours for career staff,"19,521","19,521","25,932",,"24,000","24,000"
# Inspections for Fire Code enforcement,# Inspections for Fire Code enforcement,# Inspections for Fire Code enforcement,"1,735","1,735","1,804",,"2,000","2,000"
,,,Page C-18,Page C-18,,,,
