Name: “Table 1 of 1 on page 161 of 171”,Name: “Table 1 of 1 on page 161 of 171”,Name: “Table 1 of 1 on page 161 of 171”,Name: “Table 1 of 1 on page 161 of 171”,Name: “Table 1 of 1 on page 161 of 171”
Table: 161,Table: 161,Table: 161,Table: 161,Table: 161
,,,,
Authorized Positions Per Department,,,,
Current Position Title,FY11,FY12,FY13,FY14
Inspector I/II/III,3,3,3,3
JCSA Assistant General Manager,1,1,1,1
JCSA General Manager,1,1,1,1
Maintenance Mechanic,1,1,1,1
Plant Supervisor,1,1,1,1
SCADA Programmer/Electrician,0,0,1,1
Secretary,1,2,2,2
Senior Purchasing Specialist,1,1,1,1
Senior Utility Account Representative,1,1,1,1
Senior Utility Locator,1,1,1,1
Utility Account Representative,6,6,6,6
Utility Account Supervisor,1,1,1,1
Utility Analyst,1,1,1,1
Utility Operations Administrator,1,1,1,1
Utility Operations Assistant/Specialist I/II,23,23,23,23
Utility Operations Crew Leader,4,4,4,4
Utility Operations Foreman,5,5,5,5
Utility Operations Superintendent,5,5,5,5
Utility Operations Technician,12,13,13,13
Utility Systems Analyst,1,1,1,1
Utility Systems Inspection Coordinator,0,1,1,1
Utility Systems Technician,1,1,1,1
Warehouse Specialist,1,1,1,1
Warehouse Supervisor,1,1,1,1
,86,89,89,89
Part-Time Regular,,,,
"Utility Locator (2,080 hours)",2,2,2,2
Part-Time Temporary,,,,
Secretary,"1,560 hrs","1,560 hrs","1,560 hrs",0 hrs
Social Services,,,,
Full-Time Regular,,,,
Accounting Technician,1,1,1,1
Accounts Payable Specialist,1,1,1,1
Administrative Services Coordinator,1,1,1,1
Assistant Director Community Services Department,1,1,1,1
Assistant Director Social Services Division,1,1,1,1
Budget Management Specialist,1,1,1,1
Eligibility Chief,1,1,1,1
Eligibility Supervisor,2,2,2,2
Eligibility Worker,6,7,7,7
Information Systems Technician,1,1,1,1
Director Community Services Department/ Social Services,,,,
Division,1,1,1,1
Secretary,1,1,1,1
Senior Administrative Services Coordinator,1,1,1,1
Senior Eligibility Worker,5,5,5,5
Senior Office Assistant,3,3,3,3
Senior Social Worker,3,2,1,1
Social Work Assistant,4,4,4,3
Social Work Supervisor,3,3,3,3
Social Worker,2,2,2,2
Social Worker I/II,12,12,13,14
,51,51,51,51
Full-Time Limited-Term,,,,
Social Worker,0.5,0.5,0,0
Social Worker I/II,1,1,1,0
,1.5,1.5,1,0
_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________
Page G-14,,,,
