Name: “Table 1 of 1 on page 155 of 171”,Name: “Table 1 of 1 on page 155 of 171”,Name: “Table 1 of 1 on page 155 of 171”,Name: “Table 1 of 1 on page 155 of 171”,Name: “Table 1 of 1 on page 155 of 171”,Name: “Table 1 of 1 on page 155 of 171”
Table: 155,Table: 155,Table: 155,Table: 155,Table: 155,Table: 155
,,,,,
,Authorized Positions Per Department,,,,
,Current Position Title,FY11,FY12,FY13,FY14
Fleet and Equipment,Full-Time Regular,,,,
,Automotive Inventory Specialist,1,1,1,1
,Automotive Service Coordinator,1,1,1,1
,Automotive Technician I/II/III,3,3,3,3
,Director Fleet and Equipment Division,1,1,1,1
,Lead Automotive Technician,1,1,1,1
,Small Engine Mechanic,1,1,1,1
,,8,8,8,8
General and Capital,Full-Time Regular,,,,
Services,Administrative Services Coordinator,1,1,1,1
,Assistant Director General and Capital Services Department,1,1,1,1
,Capital Projects Coordinator,2,2,2,2
,Civil Engineer I/II/III,0.5,1,1,1
,Director General and Capital Services Department,1,1,1,1
,Environmental Coordinator,0,0,1,1
,Inspector I/II/III,0,1,1,1
,,5.5,7,8,8
,Part-Time Temporary,,,,
,General Services Assistant,"1,040 hrs","1,040 hrs","1,040 hrs","1,040 hrs"
Grounds Maintenance,Full-Time Regular,,,,
,Groundskeeper I/II,17,17,18,18
,Landscape Technician,0,0,1,1
,Lead Groundskeeper,4,4,4,4
,Parks and Grounds Superintendent,1,1,1,1
,,22,22,24,24
,Part-Time Regular,,,,
,"Senior Office Assistant (1,040 hrs)",1,1,1,1
,Part-Time Temporary,,,,
,Groundskeeper I,500 hrs,500 hrs,500 hrs,500 hrs
Human Resources,Full-Time Regular,,,,
,Director Human Resource Department,1,1,1,1
,Human Resource Assistant,1,1,1,1
,Human Resource Coordinator,2,2,2,2
,Human Resource Specialist I/II,2,2,2,2
,Senior Human Resource Specialist,1,1,1,1
,,7,7,7,7
,Full-Time Temporary,,,,
,Senior Office Assistant,0 hrs,0 hrs,0 hrs,"2,080 hrs"
,On-Call,,,,
,Senior Office Assistant,120 hrs,120 hrs,520 hrs,0 hrs
_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________________
,Page G-8,,,,
