Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”,Name: “Table 1 of 1 on page 145 of 171”
Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145
,,,,,,,,,,,,
,,,Debt Service Fund,Debt Service Fund,Debt Service Fund,Debt Service Fund,,,,,,
,FY2013,FY2013,FY2014,FY2014,FY2015,FY2015,,FY2016,FY2017,FY2017,,FY2018
BEGINNING FUND BALANCE,"$15,766,115","$15,766,115","$11,583,529","$11,583,529",$,"7,104,893",$,"3,234,553",$,"298,690",$,"201,676"
REVENUES,,,,,,,,,,,,
General Fund - Schools,"$18,000,000","$18,000,000","$18,000,000","$18,000,000","$19,000,000","$19,000,000","$20,000,000","$20,000,000","$20,000,000","$20,000,000","$20,000,000","$20,000,000"
General Fund - Other,,"2,450,000",,"2,500,000",,"3,000,000",,"3,500,000",,"4,000,000",,"4,500,000"
,"$20,450,000","$20,450,000","$20,500,000","$20,500,000","$22,000,000","$22,000,000","$23,500,000","$23,500,000","$24,000,000","$24,000,000","$24,500,000","$24,500,000"
Build America Bonds,,"223,301",,"218,018",,"211,620",,"204,331",,"195,791",,"187,041"
Investment Income,,"20,000",,"20,000",,"20,000",,"20,000",,"20,000",,"20,000"
,"$20,693,301","$20,693,301","$20,738,018","$20,738,018","$22,231,620","$22,231,620","$23,724,331","$23,724,331","$24,215,791","$24,215,791","$24,707,041","$24,707,041"
AVAILABLE FUNDS,"$36,459,416","$36,459,416","$32,321,547","$32,321,547","$29,336,513","$29,336,513","$26,958,884","$26,958,884","$24,514,481","$24,514,481","$24,908,717","$24,908,717"
EXPENDITURES,,,,,,,,,,,,
VPSA 1992,$,"128,025",,,,,,,,,,
VPSA 1997,,"1,558,420",$,"1,557,480",$,"1,557,760",$,"1,558,980",$,"1,565,720",$,"1,567,700"
VPSA 1999,,"1,504,653",,"1,500,333",,"1,503,003",,"1,500,844",,"1,503,496",,"1,502,834"
VPSA 1999B,,"87,188",,"83,678",,"80,093",,"76,470",,"72,810",,"69,150"
Radio System 2003,,"191,420",,,,,,,,,,
2003 GO Refunding,,"2,647,875",,"2,667,625",,"2,680,375",,,,,,
2005 School GO,,"2,729,083",,"2,729,083",,"2,730,395",,"2,727,548",,"2,717,388",,"2,714,638"
Warhill Complex 2006,,"1,699,456",,"1,702,056",,"1,698,056",,"1,702,565",,"1,702,819",,"1,702,819"
Parks 2006 GO,,"1,702,313",,"1,660,313",,"1,618,313",,"1,576,313",,"1,523,813",,"1,471,313"
School Const 2006,,"8,141,750",,"7,902,250",,"7,662,750",,"7,423,250",,"7,183,750",,"6,944,250"
Police Bldg 2009,,"1,213,003",,"1,207,909",,"1,199,628",,"1,193,803",,"1,184,403",,"1,174,403"
Refunding 2010,,"609,700",,"589,900",,"563,000",,"2,907,975",,,,
Radio System 2010,,"155,258",,"155,258",,"162,369",,"162,369",,"162,369",,"162,369"
QSCB VPSA 2011,,"50,000",,"50,000",,"50,000",,"50,000",,"50,000",,"50,000"
LRB 2011,,"806,169",,"791,606",,"776,055",,"761,514",,"746,874",,"732,433"
Pub Facilities 2011,,"1,651,574",,"2,619,163",,"2,620,163",,"2,618,563",,"2,619,363",,"2,619,363"
,"$24,875,887","$24,875,887","$25,216,654","$25,216,654","$24,901,960","$24,901,960","$24,260,194","$24,260,194","$21,032,805","$21,032,805","$20,711,272","$20,711,272"
Pub Facilities 2015,,,,,,"800,000",,"1,600,000",,"1,600,000",,"1,600,000"
Central Office/Middle School,,,,,,,,,,,,
2015/2017,,,,,,"400,000",,"800,000",,"1,680,000",,"2,560,000"
,"$24,875,887","$24,875,887","$25,216,654","$25,216,654","$26,101,960","$26,101,960","$26,660,194","$26,660,194","$24,312,805","$24,312,805","$24,871,272","$24,871,272"
ENDING FUND BALANCE,"$11,583,529","$11,583,529",$,"7,104,893",$,"3,234,553",$,"298,690",$,"201,676",$,"37,445"
,,,,Page F-12,,,,,,,,
