Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”,Name: “Table 1 of 1 on page 52 of 171”
Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52,Table: 52
,,,,,,,,
,,,,,,,,
Fines and Forfeitures,,,,,,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,,FY 13,,FY 13,,FY 14,,FY 14
,,Adopted,,Projected,,Plan,,Adopted
Fines and Forfeitures,$,"300,000",$,"300,000",$,"300,000",$,"300,000"
BUDGET COMMENTS,,,,,,,,
This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with,This category of revenue reflects monies received from the imposition of fines on persons charged with
violations of County ordinances and are projected to remain level.,violations of County ordinances and are projected to remain level.,violations of County ordinances and are projected to remain level.,violations of County ordinances and are projected to remain level.,violations of County ordinances and are projected to remain level.,,,,
,,,Page B-6,Page B-6,,,,
