Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”,Name: “Table 1 of 1 on page 51 of 171”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees",,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,
,,,,,FY 13,FY 13,,,FY 13,,FY 14,,FY 14,FY 14
,,,,,Adopted,Adopted,,Projected,Projected,,Plan,,Adopted,Adopted
Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,$,"5,450,000","5,450,000",$,"5,700,000","5,700,000",$,"5,550,000",$,"5,900,000","5,900,000"
Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,,,"135,000",,,"135,000",,"135,000",,"135,000","135,000"
Business License Penalty,Business License Penalty,Business License Penalty,Business License Penalty,,,"100,000",,,"125,000",,"100,000",,"125,000","125,000"
Business License Interest,Business License Interest,Business License Interest,Business License Interest,,,"25,000",,,"30,000",,"25,000",,"30,000","30,000"
Delinquent Business and,Delinquent Business and,Delinquent Business and,Delinquent Business and,,,,,,,,,,,
Professional Licenses,Professional Licenses,Professional Licenses,Professional Licenses,,,"60,000",,,"300,000",,"60,000",,"300,000","300,000"
Utility Consumption Fee,Utility Consumption Fee,Utility Consumption Fee,Utility Consumption Fee,,,"382,000",,,"310,000",,"400,000",,"310,000","310,000"
