Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”,Name: “Table 1 of 1 on page 105 of 171”
Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105
,,,,,,,,,,,,
,,,,,,,,,,,,
Nondepartmental,Nondepartmental,Nondepartmental,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
PURPOSE,PURPOSE,PURPOSE,,,,,,,,,,
This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into,This budget provides for a contingency reserve to pay for needs caused by unforeseen events falling into
"three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or","three categories: 1) Catastrophic reserves, to provide limited emergency funds in the event of natural or"
"man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service","man-made disasters; 2) Operational reserves, to provide additional funds for limited unexpected service"
"needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by","needs; and 3) Revenue reserves, to provide limited funds to smooth fluctuations in revenues caused by"
changes in economic conditions.,changes in economic conditions.,changes in economic conditions.,changes in economic conditions.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.,A negative contingency captures savings created by personnel turnover.
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,
,,,,,,FY 13,,FY 14,,FY 14,FY 14,
,,,,,,Adopted,,Plan,,Adopted,Adopted,
,,,Contingency,Contingency,$,"525,687",$,"822,994",$,"867,125","867,125",
,,Personnel Contingency,Personnel Contingency,Personnel Contingency,,"25,000",,"(600,000)",,"(600,000)","(600,000)",
,,Reserve for Compensation,Reserve for Compensation,Reserve for Compensation,,-,,"700,000",,,-,
Economic Development Incentives,Economic Development Incentives,Economic Development Incentives,Economic Development Incentives,Economic Development Incentives,,"196,010",,"152,010",,"149,900","149,900",
,,Matching Funds - Grants,Matching Funds - Grants,Matching Funds - Grants,,"100,000",,"100,000",,"100,000","100,000",
Local Aid to State Government,Local Aid to State Government,Local Aid to State Government,Local Aid to State Government,Local Aid to State Government,,"80,400",,"80,400",,,-,
,,,,Total,$,"927,097",$,"1,255,404",$,"517,025","517,025",
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,
Contingency continues to be budgeted at a level amount.,Contingency continues to be budgeted at a level amount.,Contingency continues to be budgeted at a level amount.,Contingency continues to be budgeted at a level amount.,Contingency continues to be budgeted at a level amount.,Contingency continues to be budgeted at a level amount.,Contingency continues to be budgeted at a level amount.,Personnel contingency is budgeted at a level,Personnel contingency is budgeted at a level,Personnel contingency is budgeted at a level,Personnel contingency is budgeted at a level,Personnel contingency is budgeted at a level,Personnel contingency is budgeted at a level
amount,to,capture,personnel,turnover,savings.,Economic,Development,Development,Incentives,are,funded,for
commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,commitments for Enterprise Zone Grants and other incentive commitments.,The Local Aid to State,The Local Aid to State,The Local Aid to State,The Local Aid to State
Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014,Government has been eliminated and the Reserve for Compensation that was included in the FY2014
Plan has been distributed to each department/division.,Plan has been distributed to each department/division.,Plan has been distributed to each department/division.,Plan has been distributed to each department/division.,Plan has been distributed to each department/division.,Plan has been distributed to each department/division.,Plan has been distributed to each department/division.,,,,,,
,,,,,,Page C-46,,,,,,
