September 2011 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,September,,Budget,September,,Budget,September,,Budget,September
System-wide,,,,,,,,,,,
Bus,25.4%,23.8%,,25.4%,39.3%,,25.4%,16.1%,,25.4%,20.7%
Light Rail,8.8%,15.3%,,19.5%,11.5%,,15.0%,15.0%,,56.7%,58.2%
Ferry,25.3%,17.0%,,29.3%,32.4%,,15.8%,17.0%,,29.8%,33.6%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,20.4%,19.3%,,32.8%,35.1%,,15.3%,16.6%,,31.5%,28.9%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,21.0%,,39.4%,43.6%,,15.8%,17.0%,,22.8%,18.4%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,17.9%,15.7%,,38.9%,43.0%,,15.8%,17.0%,,27.4%,24.3%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,23.9%,,34.6%,37.7%,,15.0%,15.0%,,23.3%,23.3%
Light Rail,8.8%,15.3%,,19.5%,11.5%,,15.0%,15.0%,,56.7%,58.2%
Ferry,25.3%,16.9%,,29.3%,32.5%,,15.8%,17.0%,,29.6%,33.6%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,19.4%,19.7%,,30.1%,30.9%,,15.8%,15.3%,,36.5%,34.2%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,17.1%,,39.4%,46.1%,,15.0%,16.5%,,25.8%,20.3%
Ferry,25.3%,16.9%,,29.3%,32.5%,,15.8%,17.0%,,29.6%,33.6%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,20.7%,15.7%,,38.2%,43.4%,,15.8%,16.7%,,25.9%,24.3%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,6.6%,,52.6%,58.0%,,15.8%,17.0%,,22.0%,18.4%
Paratransit,6.6%,5.2%,,37.7%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,9.2%,6.4%,,50.9%,55.9%,,15.8%,17.0%,,26.9%,20.7%
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,26.5%,,33.7%,37.0%,,15.2%,16.5%,,23.0%,20.0%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,23.2%,20.9%,,34.6%,38.3%,,15.8%,16.6%,,26.9%,24.2%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,22.5%,,38.8%,42.1%,,15.8%,17.0%,,22.0%,18.4%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,36.9%,35.9%
Total,19.7%,18.4%,,38.6%,42.0%,,15.8%,17.0%,,25.9%,22.6%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,28.0%,,35.5%,36.6%,,15.8%,17.0%,,22.0%,18.4%
Paratransit,6.5%,5.2%,,37.8%,41.9%,,15.8%,17.0%,,39.9%,35.9%
Total,23.1%,23.4%,,35.9%,37.6%,,15.8%,17.0%,,25.2%,21.9%
,,,,,,,,,,,
MAX,21.2%,12.3%,,0.0%,0.0%,,31.3%,30.0%,,47.5%,57.7%
