Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,,
,,,,,,2004/2005 BUDGET,2004/2005 BUDGET,,,,,,
TITLE V,• PRIMARY SCHOOL,• PRIMARY SCHOOL,1.2.21.1.611 00 .....,,,,,,,,,PAGE,57
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2002/2003,,,2003/2004,,2004/2005,,+INCREASE,,
,,,,ACTUAL,,,APPROPRIATED,,PROJECTED,,(·DECREASE),%,
1140,AIDE SALARY,,,$,.,$,"5,088",$,"7,537",$,"2,449",48.1%,48.1%
8200 EQUIPMENT,8200 EQUIPMENT,,,$,.,$,.,$,.,$,.,,0.0%
,,,TOTAL,$,.,$,"5,088",$,"7,537",$,"2,449",48.1%,48.1%
TITLE V •,ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,1.2.22.1.61100 .. ..•,1.2.22.1.61100 .. ..•,,,,,,,,,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2002/2003,,,2003/2004,,2004/2005,,+ INCREASE,,
,,,,ACTUAL,,,APPROPRIATED,,PROJECTED,,(·DECREASE),%,
1120 SALARIES,1120 SALARIES,,,$,.,$,.,$,.,$,.,,0.0%
1140 AIDES SALARIES,1140 AIDES SALARIES,,,$,.,$,.,$,.,$,.,,0.0%
8200 EQUIPMENT,8200 EQUIPMENT,,,$,.,$,.,$,.,$,.,,0.0%
,,,TOTAL,$,.,$,.,$,.,$,.,,0.0%
TITLE V •,MIDDLE SCHOOL,MIDDLE SCHOOL,1.2.31.1.61100 .....,,,,,,,,,,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2002/2003,,,2003/2004,,2004/2005,,+INCREASE,,
,,,,ACTUAL,,,APPROPRIATED,,PROJECTED,,(·DECREASE),%,
8200 EQUIPMENT,8200 EQUIPMENT,,,$,,$,,$,,$,,#DIV/0!,#DIV/0!
,,,TOTAL,$,,$,,$,,$,,#DIV/0!,#DIV/0!
TITLE V •,HIGH SCHOOL,1.2.32.1.611 00 .....,1.2.32.1.611 00 .....,,,,,,,,,,
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2002/2003,,,2003/2004,,2004/2005,,+INCREASE,,
,,,,ACTUAL,,,APPROPRIATED,,PROJECTED,,(·DECREASE),%,
3000 SOL PROF. CURRICULUM,3000 SOL PROF. CURRICULUM,3000 SOL PROF. CURRICULUM,,$,.,$,.,$,.,$,.,,0.0%
6000 MATERIALS I SUPPLIES,6000 MATERIALS I SUPPLIES,6000 MATERIALS I SUPPLIES,,$,.,$,"5,088",$,.,$,"(5,088)",·100.0%,·100.0%
8200 EQUIPMENT,8200 EQUIPMENT,,,$,.,$,.,$,.,$,.,,0.0%
,,,TOTAL,$,.,$,"5,088",$,.,$,"(5,088)",,0.0%
,TOTAL TITLE V,• ALL,,$,.,$,"10,176",$,"7,537",$,"(2,639)",·25.9%,·25.9%
BUDGET 2004·2005 FINAL 6·9·04.xls,BUDGET 2004·2005 FINAL 6·9·04.xls,BUDGET 2004·2005 FINAL 6·9·04.xls,BUDGET 2004·2005 FINAL 6·9·04.xls,,,,,,,,,,
