Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,,,
,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,2004/2005 BUDGET,2004/2005 BUDGET,2004/2005 BUDGET,2004/2005 BUDGET,,,,,
,STATE REVENUE,,200212003,,200312004,,200412005,+INCREASE,+INCREASE,PAGE 2
CODE,BUDGET FUNCTION,,RECEIVED,,ESTIMATED,,PROJECTED,(-DECREASE),(-DECREASE),%
2402020,BASIC AID,$,"5,384,532",$,"5,506,117",$,"6,436,438",$,"930,321",16.9%
2402030,GED FUNDING IISAEP FUNDING,$,"8,114",$,"7,859",$,"7,859",$,-,0.0%
2402040,REMEDIAL SUMMER SCHOOL,$,"25,235",$,"28,091",$,"25,411",$,"(2,680)",-9.5%
2402050,FOSTER CARE - REGULAR,$,-,$,,$,,$,-,0.0%
2402060,GENERAL ADULT EDUCATION,$,-,$,,$,-,$,-,0.0%
2402070,GIFTED & TALENTED SOQ,$,"60,064",$,"59,968",$,"64,035",$,"4,067",6.8%
2402080,STATE REMEDIAL SOQ,$,"20,021",$,"19,989",$,"16,851",$,"(3,138)",-15.7%
2402090,ENROLLMENT LOSS,$,-,$,"6,208",$,-,$,"(6,208)",-100.0%
2402120,SPECIAL EDUCATION SOQ,$,"553,926",$,"551,370",$,"652,143",$,"100,773",18.3%
2402130,COMPOSITE INDEX,$,-,$,,$,,$,,0.0%
2402140,TEXTBOOK PAYMENTS,$,"125,735",$,"125,532",$,"106,365",$,"(19,167)",-15.3%
2402150,SCHOOL FOOD,$,"7,208",$,"7,208",$,"7,208",$,-,0.0%
2402160,SOL TEACHER TRAINING,$,-,$,-,$,-,$,,0.0%
2402170,VOCATIONAL EDUCATION SOQ,$,"66,738",$,"66,631",$,"89,312",$,"22,681",34.0%
2402180,VOCATIONAL ED I ADULT ED,$,"1,719",$,"1,348",$,"1,348",$,-,0.0%
