Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”,Name: “Table 1 of 1 on page 49 of 74”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,2004/2005 BUDGET,2004/2005 BUDGET,2004/2005 BUDGET,,,,,
HIGH SCHOOL,-,SPECIAL CLASSROOM INSTRUCTION,SPECIAL CLASSROOM INSTRUCTION,1.0.32.2.611 00 .....,1.0.32.2.611 00 .....,1.0.32.2.611 00 .....,,,,,PAGE 37
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2002/2003,,2003/2004,,2004/2005,,+INCREASE,
,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(·DECREASE),%
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"195,858",$,"208,000",$,"217,105",$,"9,1 05",4.4%
1140,AIDES SALARIES,AIDES SALARIES,$,"22,446",$,"23,800",$,"25,228",$,"1,428",6.0%
2100,FICA BENEFITS,FICA BENEFITS,$,"16,257",$,"17,733",$,"18,538",$,805,4.5%
2210,VRS BENEFITS,VRS BENEFITS,$,"20,608",$,"22,500",$,"29,492",$,"6,992",31.1%
2300,HEALTH BENEFITS,HEALTH BENEFITS,$,"10,816",$,"14,929",$,"23,817",$,"8,888",59.5%
2400,GLI BENEFITS,GLI BENEFITS,$,-,$,-,$,-,$,-,0.0%
3000,PURCHASE/RELATED SERV.,PURCHASE/RELATED SERV.,$,"19,500",$,-,$,-,$,,0.0%
3810,TUITION PAID INSTATE,TUITION PAID INSTATE,$,"12,465",$,"26,250",$,"26,250",$,-,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,$,"6,785",$,"1,000",$,"1,000",$,,0.0%
,ASSISTIVE TECHNOLOGY,ASSISTIVE TECHNOLOGY,$,-,$,-,$,-,$,-,0.0%
7000 JOINT OPERATIONS/NEW HORIZONS,7000 JOINT OPERATIONS/NEW HORIZONS,7000 JOINT OPERATIONS/NEW HORIZONS,$,"23,931",$,"59,690",$,"59,690",$,,0.0%
8200 EQUIPMENT ADDITIONS,8200 EQUIPMENT ADDITIONS,8200 EQUIPMENT ADDITIONS,$,"8,500",$,-,$,-,$,,
,,TOTAL,$,"337,166",$,"373,902",$,"401,120",$,"27,218",7.3%
,VRS increase from 9.44% to 12.17%,VRS increase from 9.44% to 12.17%,,,,,,,,,
,GL premium holiday,GL premium holiday,,,,,,,,,
,Health Insurance Increase,Health Insurance Increase,,,,,,,,,
BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,,,,,,,,,
