Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”,Name: “Table 1 of 1 on page 14 of 74”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,
,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,2004 I 2005 BUDGET,2004 I 2005 BUDGET,2004 I 2005 BUDGET,2004 I 2005 BUDGET,,,,,
,LOCAL REVENUE,,,,,,,,,PAGE 1
CODE,BUDGET FUNCTION,,2002/2003,,2003/2004,,2004/2005,+INCREASE,+INCREASE,
,,,RECEIVED,,ESTIMATED,,PROJECTED,(-DECREASE),(-DECREASE),%
1612020,DRIVER EDUCATION,$,"12,000",$,"25,000",,,,,
1612021,ATHLETIC PARTICIPATION,$,"7,485",$,"13,000",$,"4,000",$,"(9,000)",-69.2%
1612040,SCHOOL FOOD SERVICE,$,"158,597",$,"214,676",$,"339,072",$,"124,396",57.9%
1899120,MISCELLANEOUS,$,"28,309",$,"60,000",$,"56,933",$,"(3,067)",-5.1%
1899121,IN-SCHOOL PAYROLL RECEIPTS,$,"82,820",$,-,$,,$,-,0.0%
5105000,OPERATION,$,"6,670,000",$,"7,070,000",$,"7,256,200",$,"186,200",2.6%
5105011,CITY FUND BALANCE,$,"232,310",$,-,$,-,$,,0.0%
,TOTAL LOCAL FUNDS,$,"7,191,521",$,"7,382,676",$,"7,656,205",$,"273,529",3.7%
6/9/2004,7:27AM,Budget Revenue 2004 2005 final 6-8-04 .xis,,,,,,,,
