Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,
,,,POQUOSON CllY SCHOOLS,POQUOSON CllY SCHOOLS,POQUOSON CllY SCHOOLS,,,,
,,,2004/2005 BUDGET,2004/2005 BUDGET,2004/2005 BUDGET,,,,
HOMEBOUND INSTRUCTION,HOMEBOUND INSTRUCTION,1.0.30.1.61230 ...,,,,,,,PAGE 24
CODE,BUDGET FUNCTION,,2002/2003,,2003/2004,,2004/2005,+INCREASE,
,,,ACTUAL,,APPROPRIATED,,PROJECTED,(-DECREASE),%
1120,INSTRUCTIONAL SALARIES,$,"9,533",$,"7,820",$,"7,820",$,0.0%
2100,FICA BENEFITS,$,729,$,598,$,598,$,0.0%
,TOTAL,$,"10,263",$,"8,418",$,"8,418",$,0.0%
,Level Funding,,,,,,,,
BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,,,,,,,,
