Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”,Name: “Table 1 of 1 on page 67 of 74”
Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67
,,,,,,,,,,,,,,
,,,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,,,,2004/2005 BUDGET,2004/2005 BUDGET,,,,,
TITLE I,•,CHAPTER I,•,ELEMENTARY,1.1.22.1.611 00 .....,1.1.22.1.611 00 .....,,,,,,,,PAGE 55
CODE,,BUDGET FUNCTION,BUDGET FUNCTION,BUDGET FUNCTION,,,2002/2003,,2003/2004,,2004/2005,,+INCREASE,
,,,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(·DECREASE),%
11 20,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,,$,"45,984",$,"48,250",$,"51,116",$,"2,866",5.9%
1122,TITLE I AFTER SCHOOL REMEDIATim,TITLE I AFTER SCHOOL REMEDIATim,TITLE I AFTER SCHOOL REMEDIATim,TITLE I AFTER SCHOOL REMEDIATim,TITLE I AFTER SCHOOL REMEDIATim,$,"2,496",$,.,$,"6,500",$,"6,500",100.0%
1140,AID ES SALARIES,AID ES SALARIES,AID ES SALARIES,AID ES SALARIES,,$,"10,616",$,"11,253",$,"11,928",$,675,6.0%
2100,FICA BENEFITS,FICA BENEFITS,FICA BENEFITS,,,$,"4,151",$,"4,552",$,"5,320",$,768,16.9%
2210,VRS BENEFITS,VRS BENEFITS,VRS BENEFITS,,,$,"5,412",$,"5,740",$,"8,464",$,"2,724",47.4%
2300,HEALTH BENEFITS,HEALTH BENEFITS,HEALTH BENEFITS,HEALTH BENEFITS,,$,"5,630",$,"7,258",$,"8,826",$,"1,568",21.6%
2400,GLI BENEFITS,GLI BENEFITS,,,,$,.,$,.,$,-,$,-,0.0%
3000,TITLE I EVAL SERVNERTICAL ARTIC,TITLE I EVAL SERVNERTICAL ARTIC,TITLE I EVAL SERVNERTICAL ARTIC,TITLE I EVAL SERVNERTICAL ARTIC,TITLE I EVAL SERVNERTICAL ARTIC,$,565,$,"1,500",$,"1,800",$,300,20.0%
