Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”,Name: “Table 1 of 1 on page 41 of 74”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,2004/2005 BUDGET,2004/2005 BUDGET,2004/2005 BUDGET,,,,,
MIDDLE SCHOOL,-,SPECIAL CLASSROOM INSTRUCTION,SPECIAL CLASSROOM INSTRUCTION,1.0.31.2.61100 ...,1.0.31.2.61100 ...,1.0.31.2.61100 ...,,,,,PAGE 29
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,2002/2003,,2003/2004,,2004/2005,,+INCREASE,
,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(-DECREASE),%
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"184,870",$,"188,410",$,"238,155",$,"49,745",26.4%
1140,AIDES SALARIES,AIDES SALARIES,$,"64,1 62",$,"81,200",$,"79,035",$,"(2,165)",-2.7%
2100,FICA BENEFITS,FICA BENEFITS,$,"17,641",$,"20,625",$,"24,265",$,"3,640",17.6%
2210,VRS BENEFITS,VRS BENEFITS,$,"23,195",$,"24,338",$,"38,602",$,"14,264",58.6%
2300,HEALTH BENEFITS,HEALTH BENEFITS,$,"18,023",$,"24,411",$,"33,329",$,"8,918",36.5%
2400,GLI BENEFITS,GLI BENEFITS,$,-,$,-,$,-,$,-,0.0%
3000,PURCHASE/RELATED SERV.,PURCHASE/RELATED SERV.,$,"2,825",$,-,$,-,$,-,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,$,"2,437",$,"1,840",$,"1,840",$,-,0.0%
,ASSISTIVE TECHNOLOGY,ASSISTIVE TECHNOLOGY,$,-,$,-,$,-,$,-,0.0%
7000 JOINT OPERATIONS/NEW HORIZONS,7000 JOINT OPERATIONS/NEW HORIZONS,7000 JOINT OPERATIONS/NEW HORIZONS,$,"4,352",$,"30,100",$,"30,100",$,-,0.0%
,,TOTAL,$,"317,504",$,"370,924",$,"445,326",$,"74,402",20.1%
,VRS increase from 9.44% to 12.17%,VRS increase from 9.44% to 12.17%,,,,,,,,,
,GL premium holiday,GL premium holiday,,,,,,,,,
,Health Insurance Increase,Health Insurance Increase,,,,,,,,,
BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,,,,,,,,,
