Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”,Name: “Table 1 of 1 on page 74 of 74”
Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74
,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,,2004/2005 BUDGET,2004/2005 BUDGET,,,
,,,,,,,,PAGE 62
SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,
BUDGET FUNCTION,BUDGET FUNCTION,,,,,,,
,,,2003/2004,,2004/2005,,,
PPS EXPENDITURES- TOTAL,PPS EXPENDITURES- TOTAL,$,"2,241,557",$,"2,464,148",,,
HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"3,875",$,"3,875",,,
PES EXPENDITURES - TOTAL,PES EXPENDITURES - TOTAL,$,"2,311,135",$,,,,
,,,,,2a4.12b,,,
ELEMENTARY PROGRAMS,ELEMENTARY PROGRAMS,$,"86,77~","86,77~","35,035",.,,
PMS,EXPENDITURES - TOTAL,$,"2,806,704",$,"3,052,255",,,
HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"8,418",$,"8,418",,,
PHS EXPENDITURES- TOTAL,PHS EXPENDITURES- TOTAL,$,"4,549,344",$,"4,962,878",,,
SECONDARY PROGRAMS,SECONDARY PROGRAMS,$,"36,745",$,"127,549",,,
ADULT EDUCATION,ADULT EDUCATION,$,"9,960",$,"9,960",,,
DIVISION WIDE-ADMIN,DIVISION WIDE-ADMIN,$,"992,274",$,"1,112,599",,,
ATIENDANCE & HEALTH,ATIENDANCE & HEALTH,$,"271,074",$,"275,615",,,
TRANSPORTATION,TRANSPORTATION,$,"678,498",$,"728,483",,,
OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,419,719",$,"1,561,576",,,
FOOD SERVICE,FOOD SERVICE,$,"280,604",$,"405,330",,,
TECHNOLOGY,TECHNOLOGY,$,"590,539",$,"630,450",,,
SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"10,550",,,
GRANTS,GRANTS,$,"672,820",$,"716,625",,,
REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"29,813",$,"25,411",,,
ROUNDING ADJUSTMENT,ROUNDING ADJUSTMENT,,,,,,,
,,,,,,,,PERCENT
TOTAL BUDGET,TOTAL BUDGET,$,"17,000,404",$,"18,675,385",$,"1,674,981",9.85%
BUDGET 2004-2005 FINAL 6-9-04.xls,BUDGET 2004-2005 FINAL 6-9-04.xls,,,,,,,
