Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”,Name: “Table 1 of 1 on page 18 of 74”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,
,,,2004/2005 BUDGET,2004/2005 BUDGET,2004/2005 BUDGET,,,,
HOMEBOUND INSTRUCTION,HOMEBOUND INSTRUCTION,1.0.20.1.61230 ...,,,,,,,PAGES
CODE,BUDGET FUNCTION,2002/2003,,,2003/2004,,2004/2005,+INCREASE,
,,ACTUAL,,,APPROPRIATED,,PROJECTED,(·DECREASE),%
1120 INSTRUCTIONAL SALARIES,1120 INSTRUCTIONAL SALARIES,$,"2,675",$,"3,600",$,"3,600",$,0.0%
2100,FICA BENEFITS,$,205,$,275,$,275,$,0.0%
,TOTAL,$,"2,880",$,"3,875",$,"3,875",$,0.0%
,Level Funding,,,,,,,,
BUDGET 2004·2005 FINAL 6·9·04.xls,BUDGET 2004·2005 FINAL 6·9·04.xls,,,,,,,,
