Name: “Table 1 of 1 on page 165 of 166”,Name: “Table 1 of 1 on page 165 of 166”,Name: “Table 1 of 1 on page 165 of 166”,Name: “Table 1 of 1 on page 165 of 166”
Table: 165,Table: 165,Table: 165,Table: 165
,,,
,List of Principal Property Taxpayers,List of Principal Property Taxpayers,
,,FY 10 Property,Percent of
,Name,Taxes Assessed,County Total
1.,"Anheuser-Busch, Inc.","$ 4,803,588",4.10%
2.,"Wal-Mart, Inc.","1,117,135",1.01%
3.,Busch Entertainment Corp,"1,079,476",0.92%
4.,Powhatan Plantation Owners Association,"1,017,822",0.87%
5.,"Busch Properties, Inc.","754,840",0.64%
6.,Virginia Electric & Power Company,"747,107",0.64%
7.,"Williamsburg Landing, Inc.","735,066",0.63%
8.,Ball Metal Container,"666,737",0.57%
9.,Williamsburg Plantation Owner Association,"654,407",0.56%
10.,Manor Houses Associates,"596,756",0.51%
,Totals,"$12,172,934",10.45%
Source:,"James City County Comprehensive Annual Financial Report, June 30, 2010, Table 7.","James City County Comprehensive Annual Financial Report, June 30, 2010, Table 7.","James City County Comprehensive Annual Financial Report, June 30, 2010, Table 7."
,Page G-24,,
