Name: “Table 1 of 1 on page 162 of 166”,Name: “Table 1 of 1 on page 162 of 166”,Name: “Table 1 of 1 on page 162 of 166”
Table: 162,Table: 162,Table: 162
,,
Property Tax Rates Per $100 of Assessed Value,Property Tax Rates Per $100 of Assessed Value,Property Tax Rates Per $100 of Assessed Value
Fiscal Year,Real Estate,Personal Property
2003,0.87,4.00
2004,0.86,4.00
2005,0.825,4.00
2006,0.785,4.00
2007,0.77,4.00
2008,0.77,4.00
2009,0.77,4.00
2010,0.77,4.00
2011,0.77,4.00
2012,0.77,4.00
,Page G-21,
