Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”,Name: “Table 1 of 1 on page 44 of 166”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,
,,,,,,,,
Fines and Forfeitures,,,,,,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,,FY 11,,FY 11,,FY 12,,FY 12
,,Adopted,,Projected,,Plan,,Adopted
Fines and Forfeitures,$,"300,000",$,"300,000",$,"325,000",$,"300,000"
BUDGET COMMENTS,,,,,,,,
This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged,This category of revenue reflects monies received as a result of the imposition of fines on persons charged
with violations of County ordinances.,with violations of County ordinances.,FY 2012 is expected to be flat with FY 2011 projections.,FY 2012 is expected to be flat with FY 2011 projections.,FY 2012 is expected to be flat with FY 2011 projections.,FY 2012 is expected to be flat with FY 2011 projections.,FY 2012 is expected to be flat with FY 2011 projections.,FY 2012 is expected to be flat with FY 2011 projections.,FY 2012 is expected to be flat with FY 2011 projections.
,,,Page B-6,Page B-6,,,,
