Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”,Name: “Table 1 of 1 on page 145 of 166”
Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145,Table: 145
,,,,,,,,,
,Authorized Positions Per Department,Authorized Positions Per Department,Authorized Positions Per Department,,,,,,
,,FY09,,FY10,,FY11,,FY12,
General Fund,,,,,,,,,
Accounting,Full-Time Regular,,,,,,,,
,Accounting Director,1,,1,,1,,1,
,Accountant I,2,,2,,1,,1,
,Accountant II,1,,1,,2,,2,
,Payroll Coordinator,1,,1,,1,,1,
,Accounts Payable Specialist,2,,2,,2,,2,
,,7,,7,,7,,7,
,Full-Time Limited-Term,,,,,,,,
,Senior Accountant (Payroll Supervisor),1,,1,,1,,1,
,Payroll Clerk,1,,0,,0,,0,
,,2,,1,,1,,1,
,Part-Time Temporary,,,,,,,,
,Intern,"1,000 hrs","1,000 hrs","1,000 hrs","1,000 hrs",600 hrs,600 hrs,600 hrs,600 hrs
Animal Control,Full-Time Regular,,,,,,,,
,Animal Control Supervisor,1,,1,,1,,1,
,Animal Control Officer,2,,1,,1,,1,
,,3,,2,,2,,2,
,Part-Time Regular,,,,,,,,
,"Animal Control Officer (1,040 hours)",0,,1,,0,,0,
,,0,,1,,0,,0,
,On-Call,,,,,,,,
,Animal Control Officer,0 hrs,0 hrs,0 hrs,0 hrs,376 hrs,376 hrs,376 hrs,376 hrs
Board of Supervisors,Full-Time Regular,,,,,,,,
,Secretary to the Board,1,,1,,1,,1,
Building Safety and,Full-Time Regular,,,,,,,,
Permits,Building and Safety Permits Director,1,,1,,1,,1,
,Chief Building Inspector,1,,1,,1,,1,
,Commercial/Senior Building Inspector,1,,1,,1,,1,
,Inspector I/II/III,6,,4,,4,,4,
,Senior Inspector,3,,3,,2,,2,
,Chief Plans Examiner,1,,1,,1,,1,
,Plans Examiner I/II,2,,1,,1,,1,
,Permit Technician I/II,2,,1,,1,,1,
,Senior Permit Technician,1,,1,,0,,0,
,Administrative Services Coordinator,1,,1,,1,,1,
,,19,,15,,13,,13,
,Part-Time Regular,,,,,,,,
,"Inspector I/II/III (1,040 hrs)",0,,0,,1,,1,
,,0,,0,,1,,1,
,On-Call,,,,,,,,
,Inspector I,"1,040",hrs,"1,040",hrs,0,hrs,0,hrs
,Plans Examiner I,0,hrs,0,hrs,0,hrs,"1,040",hrs
Clerk of the,Constitutional Officer,,,,,,,,
Circuit Court,Clerk of the Circuit Court,1,,1,,1,,1,
,Full-Time Other,,,,,,,,
,Assistant Chief Deputy,1,,1,,1,,1,
,Deputy Clerk IV,1,,1,,1,,1,
,Deputy Clerk III,1,,1,,1,,1,
,Deputy Clerk II,2,,2,,2,,2,
,Deputy Clerk I,6,,6,,6,,6,
,,11,,11,,11,,11,
,Part-Time Other,,,,,,,,
,"General Office Clerk (1,456 hrs)",2,,2,,1,,1,
________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________
,Page G-4,,,,,,,,
