Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”,Name: “Table 1 of 1 on page 45 of 166”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,
,,,,,,,,
Revenue from Use of Money and Property,Revenue from Use of Money and Property,Revenue from Use of Money and Property,Revenue from Use of Money and Property,,,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,,FY 11,,FY 11,,FY 12,,FY 12
,,Adopted,,Projected,,Plan,,Adopted
Rent,$,"280,000",$,"265,000",$,"280,000",$,"270,000"
BUDGET COMMENTS,,,,,,,,
"Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown","Rent payments from the leasing of radio tower space, Legacy Hall, and the Jamestown Marina are shown"
here and are expected to remain level.,here and are expected to remain level.,,,,,,,
,,,Page B-7,Page B-7,,,,
