Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”,Name: “Table 1 of 1 on page 152 of 166”
Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152,Table: 152
,,,,,,,,,
,Authorized Positions Per Department,Authorized Positions Per Department,Authorized Positions Per Department,,,,,,
,,FY09,,FY10,,FY11,,FY12,
Planning,Full-Time Regular,,,,,,,,
,Planning Director,1,,1,,1,,1,
,Principal Planner/Zoning Administrator,1,,0,,0,,0,
,Principal Planner,1,,1,,1,,1,
,Planner/Senior Planner I/Senior Planner II,10,,10,,8,,7,
,Development Management Assistant*,1.5,,1.5,,1.5,,0.5,
,Administrative Services Coordinator,1,,1,,1,,1,
,Zoning Administrator,1,,1,,0,,0,
,Zoning Officer I/II,2,,1,,0,,0,
,Proffer Administrator,1,,1,,0,,0,
,,19.5,,17.5,,12.5,,10.5,
,Part-Time Regular,,,,,,,,
,"Principal Planner (1,040 hrs)",0,,1,,1,,1,
,Part-Time Temporary,,,,,,,,
,Intern,"2,080 hrs","2,080 hrs","2,080 hrs","2,080 hrs",0 hrs,0 hrs,0 hrs,0 hrs
* Position shared between Development Management and Planning.,* Position shared between Development Management and Planning.,,,,,,,,
Police Department,Full-Time Regular,,,,,,,,
,Police Chief,1,,1,,1,,1,
,Deputy Police Chief,1,,1,,1,,1,
,Police Major,2,,2,,2,,2,
,Senior Police Investigator,2,,2,,2,,2,
,Police Lieutenant,6,,6,,6,,6,
,Police Sergeant,7,,7,,7,,7,
,Property Control Officer,1,,1,,0,,0,
,Police Officer I/II/Senior/Master,73,,73,,74,,74,
,Grant Administrator,1,,1,,1,,1,
,Senior Administrative Services Coordinator,1,,1,,1,,1,
,Police Crime Analyst,0,,1,,1,,1,
,Police Records Clerk,2,,2,,2,,2,
,,97,,98,,98,,98,
,On-Call,,,,,,,,
,Police Officer,600,hrs,600,hrs,300,hrs,300,hrs
,Police Administrative Assistant,"1,040",hrs,"1,040",hrs,"2,340",hrs,"2,340",hrs
,,"1,640",hrs,"1,640",hrs,"2,640",hrs,"2,640",hrs
Purchasing,Full-Time Regular,,,,,,,,
,Purchasing/Management Services Director,1,,1,,1,,1,
,Buyer I/II/Senior,2,,2,,2,,3,
,,3,,3,,3,,4,
Real Estate,Full-Time Regular,,,,,,,,
Assessments,Real Estate Assessments Director,1,,1,,1,,1,
,Real Estate Assessments Deputy Director,1,,0,,0,,0,
,Real Estate Appraiser/Senior,4,,4,,4,,4,
,GIS Technician,1,,0,,0,,0,
,GIS Analyst,1,,1,,0,,0,
,GIS Supervisor,1,,1,,1,,1,
,Real Estate Information Specialist,1,,1,,1,,1,
,Real Estate Technical Assistant I/II,3,,3,,3,,2,
,,13,,11,,10,,9,
________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________
,Page G-11,,,,,,,,
