Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”,Name: “Table 1 of 1 on page 146 of 166”
Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146
,,,,,,,,,
,Authorized Positions Per Department,Authorized Positions Per Department,,,,,,,
,,FY09,,FY10,,FY11,,FY12,
Commissioner of the,Constitutional Officer,,,,,,,,
Revenue,Commissioner of the Revenue,1,,1,,1,,1,
,Full-Time Regular,,,,,,,,
,Chief Deputy Commissioner,1,,1,,1,,1,
,Business License Inspector,1,,1,,1,,1,
,Deputy IV,1,,1,,1,,1,
,Deputy III,3,,3,,3,,3,
,Deputy I/II,3,,3,,2,,2,
,Senior Auditor,1,,1,,1,,1,
,Business Tax Specialist,1,,1,,1,,1,
,Business Tax Field Representative,1,,0,,0,,0,
,,12,,11,,10,,10,
,On-Call,,,,,,,,
,Deputy I/II,0,hrs,0,hrs,"1,040",hrs,"1,040",hrs
Commonwealth's,Constitutional Officer,,,,,,,,
Attorney,Commonwealth Attorney,1,,1,,1,,1,
,Full-Time Other,,,,,,,,
,Deputy Commonwealth Attorney,1,,1,,1,,1,
,Attorney III,1,,1,,1,,1,
,Attorney I,2,,2,,2,,2,
,Paralegal,1,,1,,1,,1,
,Paralegal Assistant,1,,1,,1,,1,
,Secretary,1,,1,,1,,1,
,Administrative Assistant II,1,,1,,1,,1,
,,8,,8,,8,,8,
Communications,Full-Time Regular,,,,,,,,
,Chief Video Engineer,1,,1,,1,,1,
,Video Technician,1,,1,,1,,1,
,Communications Director,1,,1,,1,,1,
,Communications Specialist I/II,2,,2,,2,,2,
,Graphic Designer,1,,1,,1,,1,
,Civic Engagement Coordinator,0,,0,,1,,1,
,Administrative Services Coordinator*,0.5,,0.5,,0.5,,0.5,
,,6.5,,6.5,,7.5,,7.5,
* Position shared between County Administration and Communications.,* Position shared between County Administration and Communications.,,,,,,,,
Community Services,Full-Time Regular,,,,,,,,
,Community Services Manager,1,,1,,0,,0,
,Community Services Assistant Manager,1,,1,,0,,0,
,Administrative Services Coordinator,1,,1,,0,,0,
,,3,,3,,0,,0,
,Part-Time Regular,,,,,,,,
,"PDR Administrator (1,040 hrs)",1,,1,,0,,0,
Cooperative,Full-Time Other,,,,,,,,
Extension Service,Unit Administrator,1,,1,,1,,1,
,Extension Agent,1,,1,,1,,1,
,,2,,2,,2,,2,
,Part-Time Other,,,,,,,,
,Extension Agent,1,,0,,0,,0,
,Part-Time Temporary,,,,,,,,
,Secretary,600 hrs,600 hrs,600 hrs,600 hrs,0 hrs,0 hrs,0 hrs,0 hrs
________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________,________________________________________________________________________________________________________________________________
,Page G-5,,,,,,,,
