Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”,Name: “Table 1 of 1 on page 61 of 166”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,,,,
,,,,,,,,,,,,
Courthouse,Courthouse,,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,,,,
"This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located","This activity accounts for the costs of operating the 71,661-square-foot City/County Courthouse located"
on,Monticello,Avenue.,The,Courthouse,includes,the,Circuit,"Court,",District,"Court,",Juvenile,and
"Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.","Domestic Relations Court, Sheriff, Clerk of the Circuit Court, and Commonwealth's Attorney.",
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,
,,,,,FY 11,,FY 12,FY 12,,FY 12,,
,,,,,Adopted,,Plan,Plan,,Adopted,,
,,Personnel,Personnel,$,"129,473",$,"131,363","131,363",$,"130,463","130,463",
,,Operating,Operating,,"404,630",,"404,630","404,630",,"416,200","416,200",
Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,Received from Williamsburg,,"(94,536)",,"(94,871)","(94,871)",,"(95,119)","(95,119)",
,,Total,Total,$,"439,567",$,"441,122","441,122",$,"451,544","451,544",
PERSONNEL,PERSONNEL,,,,,,,,,,,
,Full-time Personnel,Full-time Personnel,Full-time Personnel,,2,,,2,,2,2,
,Part-time Personnel,Part-time Personnel,Part-time Personnel,,1,,,1,,1,1,
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,
The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating,The County is the fiscal agent for the Courthouse and the City will pay for 17.4 percent of the operating
costs under the terms of the contract.,costs under the terms of the contract.,costs under the terms of the contract.,costs under the terms of the contract.,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract,This budget reflects an increase for the custodial services contract
