Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”
Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138,Table: 138
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,Debt Service Fund,Debt Service Fund,Debt Service Fund,Debt Service Fund,,,,,,
PURPOSE,PURPOSE,,,,,,,,,,,,,,,
The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of,The County Debt Service Fund provides for the payment of principal and interest on long-term debt of
the County.,the County.,"These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over","These payments of principal and interest, known as ""debt service"", are usually made over"
20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,20- or 25-year periods before the bonds are fully repaid.,James City County's debt is currently rated,James City County's debt is currently rated,James City County's debt is currently rated,James City County's debt is currently rated,James City County's debt is currently rated,James City County's debt is currently rated,James City County's debt is currently rated
AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,AAA by Moody's Investors Service and Fitch and AA+ by Standard and Poor.,These outstanding bond,These outstanding bond,These outstanding bond
ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future,ratings translate into lower interest costs and expanded flexibility for the County when it considers future
