Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”,Name: “Table 1 of 1 on page 115 of 166”
Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115
,,,,,,,,,,,
,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,,,
OTHER COUNTY,,,,,,,,,,,
NEW CAPITAL PROJECTS,,,,,,,,,,,
,FY 2012,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2016,FY 2017,FY 2017,,TOTAL
New Centerville Road Tributaries BMP,"$ 200,000",,,,,,,,,$,"200,000"
Freedom Park Trail,,$,"760,000",,,,,,,,"760,000"
James City Williamsburg Community,,,,,,,,,,,
"Center Parking, closing Asbury Rd",,,"630,000",,,,,,,,"630,000"
Warhill Sports Complex - Baseball,,,,"$ 1,100,000","$ 580,000",,,,,,"1,680,000"
Warhill Sports Complex - Basketball Courts,,,,,"190,000",,,,,,"190,000"
,"$ 200,000","$ 1,390,000","$ 1,390,000","$ 1,100,000","$ 770,000",$,-,$,-,$,"3,460,000"
Budget Comments:,,,,,,,,,,,
"With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.","With the uncertainty relating to future operating budget increases, the number and the extent of new capital projects are both fairly lean.",The focus of,The focus of
