Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”,Name: “Table 1 of 1 on page 108 of 166”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,,,
,,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,
FUNDING SUMMARY,,,,,,,,,,,,
,,,FY 2012,FY 2012,,FY 2013,FY 2014,FY 2015,FY 2016,,FY 2017,TOTAL
REVENUES,,,,,,,,,,,,
County General Fund,,,"$1,818,000","$1,818,000",$,"2,425,000","$ 3,340,000","$4,787,000","$ 5,004,000",$,"5,897,000","$ 23,271,000"
Investment Income,,,,"399,000",,"450,000","500,000","550,000","600,000",,"650,000","3,149,000"
Reallocation of Capital Balances/Other,Reallocation of Capital Balances/Other,,,"315,000",,"525,000","665,000","745,000",,,"350,000","2,600,000"
County Project Indebtedness,,,"6,166,000","6,166,000",,,,,,,,"6,166,000"
School Bond Proceeds - Geo-Thermal,School Bond Proceeds - Geo-Thermal,,,,,"19,127,000",,,,,,"19,127,000"
School Bond Proceeds - Central Office,School Bond Proceeds - Central Office,,,,,,,,,,"19,800,000","19,800,000"
,TOTAL,,"$8,698,000","$8,698,000","$ 22,527,000","$ 22,527,000","$ 4,505,000","$6,082,000","$ 5,604,000","$ 26,697,000","$ 26,697,000","$ 74,113,000"
