Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”
Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Accounting,F/T,8,8,8,8,9,9,9,8,8,8
,P/T,0,0,0,0,0,0,0,0,0,0
Animal Control,F/T,3,3,3,3,3,3,3,2,2,2
,P/T,0,0,0,0,0,0,0,1,0,0
Board of Supervisors,F/T,1,1,1,1,1,1,1,1,1,1
,P/T,0,0,0,0,0,0,0,0,0,0
Building Safety and Permits,F/T,15,16,17,18,20,21,19,15,13,13
,P/T,3,2,2,1,1,0,0,0,1,1
Clerk of the Circuit Court,F/T,12,12,12,12,12,12,12,12,12,12
,P/T,2,2,2,2,2,2,2,2,1,1
Commissioner of the Revenue,F/T,11,11,11,11,13,13,13,12,11,11
,P/T,0,0,0,0,0,0,0,0,0,0
Commonwealth's Attorney,F/T,8,8,8,8,9,9,9,9,9,9
,P/T,1,1,1,1,0,0,0,0,0,0
Communications,F/T,4.5,5,5,6,7.5,7.5,6.5,6.5,7.5,7.5
,P/T,0,0,0,0,0,0,0,0,0,0
Community Services,F/T,8,5,5,5,4,4,3,3,0,0
,P/T,0,1,1,1,1,1,1,1,0,0
Cooperative Extension Service,F/T,3,2,2,2,2,2,2,2,2,2
,P/T,0,1,1,1,1,1,1,0,0,0
County Administration,F/T,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,P/T,0,0,0,0,0,0,0,0,0,0
County Attorney,F/T,4.5,4.5,4.5,4.5,5,5,5,5,5,5
,P/T,0,0,0,0,0,0,0,0,0,0
Courthouse,F/T,2,2,2,2,2,2,2,2,2,2
,P/T,1,1,1,1,1,1,1,1,1,1
Courts/Judicial,F/T,2,2,2,2,2,2,2,2,2,2
,P/T,0,0,0,0,0,0,0,0,0,0
Development Management,F/T,4.5,4.5,4.5,4.5,3.5,4.5,2.5,2.5,2.5,2.5
,P/T,0,0,0,0,0,0,0,0,0,0
Economic Development,F/T,3,3,3,3,3,3,3,3,3,4
,P/T,0,0,0,0,0,0,0,0,0,0
Elections,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,1,1,1,1,1,1,1,1,1,1
Emergency Communications,F/T,23,25,25,25,27,27,27,27,26,26
,P/T,2,2,2,2,0,0,0,0,0,0
Emergency Management,F/T,1,1,1,1,1,2,2,2,2,3
,P/T,1,1,1,1,1,0,0,0,0,0
Engineering and Resource,F/T,9,10,11,13,15,15,15,14,12,13
Protection,P/T,0,0,0,0,0,0,0,0,0,0
Facilities Maintenance,F/T,20,20,20,19,18,19,19,18,17,17
,P/T,11,11,11,11,6,6,6,6,6,6
Financial and Management,F/T,7,7,7,7,7,7,7,7,7,6
Services,P/T,0,0,0,0,0,0,0,0,0,0
_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________
,,,,,Page G - 1,,,,,,
