Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”
Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Colonial Community Corrections F/T,Colonial Community Corrections F/T,11,12,13,13,13,13,11,11,12,12
,P/T,3,5,5,5,5,5,4,4,3,3
Community Development,F/T,8.5,8.5,8.5,8.5,9.5,9.5,9.5,8.5,9.5,9.5
,P/T,0,1,1,1,0,0,0,1,1,1
JCSA,F/T,76,78,81,85,87,88,90,90,86,89
,P/T,0,0,1,1,2,2,2,2,2,2
Social Services,F/T,50.5,52.5,52.5,53.5,53.5,57.5,57.5,52.5,52.5,53.5
,P/T,1,1,1,1,1,1,1,1,3,2
Special Projects/Grants,F/T,0,0,3,3,1,2,3,2,0,0
,P/T,0,0,0,0,0,0,1,1,1,1
Grand Total All Funds,F/T,620.0,631.0,650.5,675.5,712.5,756.5,755.0,727.0,701.0,705.0
,P/T,69.0,75.0,78.0,78.0,61.0,57.0,57.0,52.0,40.0,39.0
A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,,,,,,,
* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,* Staffing of independent agencies is not reflected in this document.,,,,,,,
_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________,_________________________________________________________________________________________________________________________
,,,,,Page G - 3,,,,,,
