Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”,Name: “Table 1 of 1 on page 43 of 166”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees","Licenses, Permits, and Fees",,,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,BUDGET SUMMARY,,,,,,,,,,,,,
,,,,,FY 11,FY 11,,,FY 11,,FY 12,FY 12,,FY 12,FY 12,
,,,,,Adopted,Adopted,,Projected,Projected,,Plan,Plan,,Adopted,Adopted,
Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,Bus. and Prof. Licenses,$,"4,750,000","4,750,000",$,"4,750,000","4,750,000",$,"4,850,000","4,850,000",$,"4,750,000","4,750,000",
Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,Motor Vehicle Licenses,,,"130,000",,,"130,000",,"130,000","130,000",,"130,000","130,000",
Business License Penalty,Business License Penalty,Business License Penalty,Business License Penalty,,,"135,000",,,"100,000",,"135,000","135,000",,"100,000","100,000",
Business License Interest,Business License Interest,Business License Interest,Business License Interest,,,"30,000",,,"25,000",,"30,000","30,000",,"25,000","25,000",
Utility Consumption Fee,Utility Consumption Fee,Utility Consumption Fee,Utility Consumption Fee,,,"310,000",,,"310,000",,"315,000","315,000",,"315,000","315,000",
,Building Permits,Building Permits,Building Permits,,,"625,000",,,"775,000",,"675,000","675,000",,"800,000","800,000",
