Name: “Table 1 of 1 on page 1 of 25”,Name: “Table 1 of 1 on page 1 of 25”,Name: “Table 1 of 1 on page 1 of 25”
Table: 1,Table: 1,Table: 1
,,
,City of Portsmouth,
,Fiscal Year 2012 Adopted Budget,
Public Works/General Services,,
,Business Center Index,
Organizational Chart,2,
Business Center Summary,3,
Streets And Highways,4,
Storm Water Management,6,
Mosquito Control,9,
Engineering,10,
Traffic Engineering,12,
Parking Authority,14,
Property Management,15,
Utilities,16,
Rental Of Land,17,
Waste Management,18,
City Garage,20,
Cemetery Perpetual Care Fund,22,
Department of Public Utilities,23,
Harbor Center Pavilion,25,
Fiscal Year 2012,1,Public Works/General Services
