General Fund Revenues
This page intentionally left blank
G ENERAL F UND REVENUE SUMMARY,G ENERAL F UND REVENUE SUMMARY,,,,
,FY 2011,FY 2012,FY 2012,FY 2013,
Department,,,,,
,Actual,Approved,Estimate,Approved,
GENERAL PROPERTY TAXES,,,,,
Real Property Taxes,,,,,
Current,"186,355,380","177,986,800","180,958,400","176,977,400",
Delinquent,"7,650,799","8,800,000","6,626,000","7,057,100",
Interest and Administrative Fees,"986,163","900,000","912,000","912,000",
Real Estate Tax Refunds,"-3,922,348","-100,000","-110,251","-100,000",
Subtotal - Real Property Taxes,"191,069,994 187,586,800 188,386,149 184,846,500","191,069,994 187,586,800 188,386,149 184,846,500","191,069,994 187,586,800 188,386,149 184,846,500","191,069,994 187,586,800 188,386,149 184,846,500",
Downtown Improvement District (DID),,,,,
Current,"1,696,964","1,633,500","1,683,700","1,648,500",
Subtotal - DID,"1,696,964","1,633,500","1,683,700","1,648,500",
Real Property - Public Service Corporation (PSC),,,,,
Current,"9,006,020","8,700,000","8,880,000","8,300,000",
Delinquent,"110,314","10,000","10,000","10,000",
Subtotal - Real Property PSC,"9,116,334","8,710,000","8,890,000","8,310,000",
Total All Real Property Taxes,"201,883,292 197,930,300 198,959,849 194,805,000","201,883,292 197,930,300 198,959,849 194,805,000","201,883,292 197,930,300 198,959,849 194,805,000","201,883,292 197,930,300 198,959,849 194,805,000",
Personal Property,,,,,
Current,"33,176,642","33,920,000","33,500,000","33,920,000",
Delinquent,"11,432,390","10,579,000","10,579,000","10,900,000",
Interest and Administrative Fees,"960,888","814,000","850,000","860,000",
Personal Property Tax Refund,"-1,928,657","-1,200,000","-1,200,000","-1,200,000",
Subtotal - Personal Property Tax,"43,641,263","44,113,000","43,729,000","44,480,000",
Personal Property - Public Service Corporations,,,,,
Current,"119,181","100,000","107,216","107,000",
Delinquent,0,10000,0,0,
Subtotal - Personal Property PSC,"119,181","110,000","107,216","107,000",
Mobile Home,,,,,
Current,"8,952","9,000","9,000","9,000",
Delinquent,"10,538","7,000","7,000","10,000",
Interest,"1,464","1,000","1,000","1,000",
Subtotal - Mobile Home,"20,954","17,000","17,000","20,000",
Machinery and Tools,,,,,
Current,"5,154,777","4,200,000","5,100,000","5,150,000",
Delinquent,"649,015","600,000","100,000","300,000",
Interest,"23,757","9,000","9,000","9,000",
,,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,65
,,FY 2011,FY 2012,FY 2012,FY 2013
Department,Department,,,,
,,Actual,Approved,Estimate,Approved
Subtotal - Machinery and Tools,Subtotal - Machinery and Tools,"5,827,549","4,809,000","5,209,000","5,459,000"
Total General Property Taxes,Total General Property Taxes,"251,492,239 246,979,300 248,022,065 244,871,000","251,492,239 246,979,300 248,022,065 244,871,000","251,492,239 246,979,300 248,022,065 244,871,000","251,492,239 246,979,300 248,022,065 244,871,000"
OTHER LOCAL TAXES,OTHER LOCAL TAXES,,,,
Sales and Use,Sales and Use,"28,410,605","29,400,000","29,400,000","30,200,000"
Consumer Utility Taxes,Consumer Utility Taxes,,,,
,Water,"5,288,663","5,400,000","5,371,000","5,400,000"
,Electric,"12,873,379","13,150,000","12,860,000","12,900,000"
,Gas,"3,020,545","3,100,000","3,000,000","3,000,000"
,Communications Sales Tax,"18,433,923","19,890,000","19,400,000","19,400,000"
Subtotal - Consumer Utility Taxes,Subtotal - Consumer Utility Taxes,"39,616,510","41,540,000","40,631,000","40,700,000"
Business Taxes,Business Taxes,,,,
,Business License,"25,849,256","26,300,000","28,600,000","28,100,000"
,Franchise,"977,968","900,000","973,500","900,000"
,Bank Franchise,"2,446,924","2,700,000","2,307,500","2,400,000"
Subtotal - Business Taxes,Subtotal - Business Taxes,"29,274,148","29,900,000","31,881,000","31,400,000"
Licenses and Decals,Licenses and Decals,,,,
,Motor Vehicle,"4,313,329","4,477,000","4,500,000","4,500,000"
,Boats,"88,421","115,000","100,000","100,000"
Subtotal - Licenses and Decals,Subtotal - Licenses and Decals,"4,401,750","4,592,000","4,600,000","4,600,000"
Consumer Taxes,Consumer Taxes,,,,
,Recordation,"1,594,775","1,600,000","1,650,000","1,700,000"
,Cigarette,"7,160,873","7,580,000","7,900,000","7,708,000"
,Admissions,"3,859,803","4,000,000","3,750,000","4,000,000"
,Hotel/Motel Room,"5,542,185","5,700,000","5,840,000","6,024,000"
,Hotel ($2 flat tax),"969,922","2,000,000","2,000,000","2,000,000"
,Restaurant Food,"24,094,023","24,180,000","25,400,000","25,650,000"
,Estate Probate,"37,464","38,000","40,000","40,000"
,Short Term Rental,"179,906","200,000","155,000","158,000"
Subtotal - Consumer Taxes,Subtotal - Consumer Taxes,"43,438,951","45,298,000","46,735,000","47,280,000"
Total Other Local Taxes,Total Other Local Taxes,"145,141,964 150,730,000 153,247,000 154,180,000","145,141,964 150,730,000 153,247,000 154,180,000","145,141,964 150,730,000 153,247,000 154,180,000","145,141,964 150,730,000 153,247,000 154,180,000"
"PERMITS, FEES AND LICENSES","PERMITS, FEES AND LICENSES",,,,
,Animal License,"84,806","95,000","75,000","225,000"
,Burglar Alarm License,"2,800","2,900","3,000","2,900"
,Residential Parking Decals,"30,942","30,000","30,000","30,000"
,Building Permit,"492,829","550,000","470,000","550,000"
,Electrical Permit,"245,686","230,000","270,000","250,000"
,Plumbing Permit,"162,819","145,000","170,000","170,000"
,Plan Review Fee,"111,678","120,000","128,000","122,000"
66,General Fund Revenue Summary,,,,
,FY 2011,FY 2012,FY 2012,FY 2013,
Department,,,,,
,Actual,Approved,Estimate,Approved,
Mechanical Code Inspection Fee,"175,041","170,000","170,000","170,000",
Elevator Inspection Fee,"107,807","100,000","80,000","85,000",
Driveway Permit,"20,000","10,000","20,000","20,400",
Utility Cut Permit,"494,616","162,500","80,000","67,200",
Special ROW/ Parking Permit,"82,120","190,200","170,000","111,200",
Street Construction Permit,200,"82,500","150,000","94,800",
Precious Metal Dealer Permit,"19,025","19,000","19,000","19,000",
Fire Permit,"51,550","384,600","101,000","101,000",
Fire Inspection,0,0,"50,000","99,000",
Wetland Permit,"2,600","6,300","3,500","4,500",
Zoning Fees,"74,277","56,600","60,000","60,000",
Excessive Size and Weight Permit,"214,975","165,000","240,000","221,700",
Taxi Operator Permit,"12,440","16,000","14,500","14,500",
Foot Race / Bicycle Race Permit,200,300,300,300,
Yard/Garage Sale Permit,"10,163","10,000","9,400","10,000",
Street Solicitation Permit,10,0,10,0,
Registration Vacant Buildings Fee,"2,988","4,600","6,000","6,000",
Transfer Fees,"5,527","5,500","4,500","5,500",
Recreation/Parks Fees,"469,388","500,000","415,000","452,000",
Recreation/Parks Classes Fees,"394,786","415,000","370,000","428,928",
Recreation/Parks Concession Fees,"5,322","5,300","5,300","5,000",
Recreation/Parks Rental Fees,"80,810","80,000","70,000","120,000",
Recreation/Parks Camp Wakeup,"335,554","300,000","400,000","455,000",
Recreation Fees-Cruise Ship Terminal,"415,837","660,000","418,000","527,000",
Total Permits and Fees,"4,106,796","4,516,300","4,002,510","4,427,928",
FINES AND FORFEITURES,,,,,
Fines and Forfeitures,"1,165,279","1,100,000","1,150,000","1,123,800",
Fees-Handling Bad Checks,"16,559","14,000","12,000","12,000",
Penalties-Refuse Violation,"28,620","25,000","24,000","25,000",
Excess Weight Penalties,"24,500","60,000","30,000","25,000",
Fines-False Alarm,"53,035","51,000","40,000","50,000",
Total Fines and Forfeitures,"1,287,993","1,250,000","1,256,000","1,235,800",
USE OF MONEY AND PROPERTY,,,,,
Interest on Investments,"83,969","25,000","40,000","75,000",
Other Interest,"41,778","254,800","254,800","254,800",
Rent - General Properties,"3,559,117","3,512,100","3,412,100","3,497,100",
Rent - Gov's Magnet School,"21,180","16,000","20,000","20,300",
Rent - Cultural Convention Center,"426,669","300,000","350,000","360,000",
,,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,67
,,FY 2011,FY 2012,FY 2012,FY 2013
Department,Department,,,,
,,Actual,Approved,Estimate,Approved
,Rent - Chrysler Hall,"555,907","325,000","350,000","325,000"
,Rent - VA Stage/Wells Theatre,"32,461","15,000","35,000","35,000"
,Rent - Harrison Opera House,"104,060","50,000","100,000","70,000"
,Rent - Harbor Park-Other,"144,914","30,000","30,000","75,000"
,Sale Of Salvage Materials,"1,995","1,000","1,000","1,000"
,Rent - Equipment,"13,439","90,000","90,000","90,000"
,Ticket System-Cultural Center,"538,748","500,000","500,000","450,000"
,Rent - Picnic Shelters,"33,915","20,400","30,000","28,000"
,Commissions-Jail Telephone,"672,000","672,000","672,000","672,000"
,Rent - Cruise Ship Terminal,"302,595","300,000","300,000","300,000"
,Rent – Nauticus,"71,720","60,000","85,000","100,000"
,Sales - Merchandise – Nauticus,"549,664","540,000","500,000","550,000"
Total Use of Money and Property,Total Use of Money and Property,"7,154,131","6,711,300","6,769,900","6,903,200"
CHARGES FOR SERVICES,CHARGES FOR SERVICES,,,,
,Court Costs,"130,514","110,000","120,000","125,000"
,Courthouse Security Assessment,"397,073","380,000","410,000","400,000"
,Courthouse Construction Fee,"239,711","240,000","240,000","240,000"
,DNA Charges,"1,781","1,600","3,000","3,000"
,Fees-High Constable,"476,872","500,000","500,000","475,000"
,Jail Processing Fees,"23,782","22,500","25,000","25,000"
