Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”,Name: “Table 1 of 1 on page 14 of 26”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,,,,,,
,,,,,Use of Money and Property,Use of Money and Property,Use of Money and Property,Use of Money and Property,Use of Money and Property,,,,,,
Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in,Use of Money (Investment income) is the interest earned on the investment of temporarily idle funds in
repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,repurchase agreements and other instruments secured or collateralized by government securities.,
Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.,Use of Property includes rental of City property and rental of Antenna Sites and Recreational Facilities.
,,,,,Use of Money and Property,Use of Money and Property,Use of Money and Property,Use of Money and Property,Use of Money and Property,,,,,,
,,,,,,FY2013,,FY2014,,,Dollar,Percent,,,
,Funding Source,Funding Source,Funding Source,,,Adopted,,Adopted,,,Change,Change,,,
,Investment income,Investment income,Investment income,,$,"10,230",$,"16,631","16,631",$,"6,401",63%,63%,,
,Use of property,Use of property,Use of property,,,"1,904,767",,"1,771,036","1,771,036",,"(133,731)",-7%,-7%,,
,Total,Total,,,$,"1,914,997",$,"1,787,667","1,787,667",$,"(127,330)",,,,
,,,,,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,,,,,,
The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal,The decline in this revenue source is largely due to a correction of over budgeting in the previous fiscal
year.,,,,,,,,,,,,,,,
,,,,,Miscellaneous Revenue,Miscellaneous Revenue,Miscellaneous Revenue,Miscellaneous Revenue,Miscellaneous Revenue,,,,,,
Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-,Miscellaneous Revenue includes donations and contributions made to the City along with other non-
